AccountNo,Debit,Credit,Bal,BalType
111,0.00,0.00,0.00,Dr
1131,0.00,0.00,0.00,Dr
11321,0.00,0.00,0.00,Dr
11322,0.00,0.00,0.00,Dr
11331,0.00,0.00,0.00,Dr
11332,0.00,0.00,0.00,Dr
1134,0.00,0.00,0.00,Dr
1135,0.00,0.00,0.00,Dr
1136,0.00,0.00,0.00,Dr
1137001,0.00,0.00,0.00,Dr
1137002,0.00,0.00,0.00,Dr
1138001,0.00,0.00,0.00,Dr
1138002,0.00,0.00,0.00,Dr
12001,3650372.00,0.00,3650372.00,Dr
12002,0.00,0.00,0.00,Dr
12003,47500.00,0.00,47500.00,Dr
1211,505000.00,0.00,505000.00,Dr
1212,0.00,0.00,0.00,Dr
1221,94000.00,0.00,94000.00,Dr
1222,0.00,0.00,0.00,Dr
1231,0.00,0.00,0.00,Dr
1232,0.00,0.00,0.00,Dr
1241,0.00,0.00,0.00,Dr
1242,0.00,0.00,0.00,Dr
1251,0.00,0.00,0.00,Dr
1252,0.00,0.00,0.00,Dr
13001,0.00,0.00,0.00,Dr
1311,0.00,0.00,0.00,Dr
1312,0.00,0.00,0.00,Dr
1313,0.00,0.00,0.00,Dr
1314,0.00,0.00,0.00,Dr
1315,0.00,0.00,0.00,Dr
14001,0.00,200000.00,200000.00,Cr
21001,0.00,0.00,0.00,Dr
21002,0.00,0.00,0.00,Dr
21008,0.00,0.00,0.00,Dr
31002,0.00,0.00,0.00,Dr
31003,0.00,0.00,0.00,Dr
411,0.00,0.00,0.00,Dr
412,0.00,0.00,0.00,Dr
42,0.00,0.00,0.00,Dr
49,0.00,0.00,0.00,Dr
5111,0.00,0.00,0.00,Dr
5112,0.00,0.00,0.00,Dr
5113,10000.00,0.00,10000.00,Dr
5121,16800.00,0.00,16800.00,Dr
5122,0.00,0.00,0.00,Dr
5123,0.00,0.00,0.00,Dr
513,0.00,0.00,0.00,Dr
514,0.00,0.00,0.00,Dr
515,0.00,0.00,0.00,Dr
518,0.00,0.00,0.00,Dr
519,1800000.00,0.00,1800000.00,Dr
52001,360980.00,0.00,360980.00,Dr
52002,445000.00,0.00,445000.00,Dr
52003,0.00,0.00,0.00,Dr
52004,0.00,0.00,0.00,Dr
52005,798500.00,0.00,798500.00,Dr
52006,0.00,0.00,0.00,Dr
52007,0.00,0.00,0.00,Dr
52008,0.00,0.00,0.00,Dr
52009,2577840.00,0.00,2577840.00,Dr
52010,1017500.00,0.00,1017500.00,Dr
52011,0.00,0.00,0.00,Dr
52012,0.00,0.00,0.00,Dr
52013,0.00,0.00,0.00,Dr
52014,6967416.00,0.00,6967416.00,Dr
52015,4362500.00,0.00,4362500.00,Dr
52021,0.00,0.00,0.00,Dr
52022,23650.00,0.00,23650.00,Dr
52023,12021102.00,0.00,12021102.00,Dr
52024,94395.00,0.00,94395.00,Dr
52025,0.00,0.00,0.00,Dr
52026,0.00,0.00,0.00,Dr
52031,0.00,0.00,0.00,Dr
52032,0.00,0.00,0.00,Dr
52033,0.00,0.00,0.00,Dr
52034,0.00,0.00,0.00,Dr
52035,0.00,0.00,0.00,Dr
52041,0.00,0.00,0.00,Dr
52051,0.00,0.00,0.00,Dr
52052,0.00,0.00,0.00,Dr
52053,0.00,0.00,0.00,Dr
52054,207000.00,0.00,207000.00,Dr
52055,330402.00,0.00,330402.00,Dr
52061,0.00,0.00,0.00,Dr
52062,411380.00,0.00,411380.00,Dr
52063,0.00,0.00,0.00,Dr
520901,0.00,0.00,0.00,Dr
520902,0.00,0.00,0.00,Dr
520903,0.00,0.00,0.00,Dr
5209041,0.00,0.00,0.00,Dr
5209042,0.00,0.00,0.00,Dr
5209043,0.00,0.00,0.00,Dr
520905,0.00,0.00,0.00,Dr
520906,0.00,0.00,0.00,Dr
520907,50000.00,0.00,50000.00,Dr
520908,0.00,0.00,0.00,Dr
520909,0.00,0.00,0.00,Dr
520910,0.00,0.00,0.00,Dr
52101,0.00,0.00,0.00,Dr
52102,0.00,0.00,0.00,Dr
5211001,300000.00,0.00,300000.00,Dr
540,1399349.00,0.00,1399349.00,Dr
540001,130000.00,0.00,130000.00,Dr
54001,23104000.00,0.00,23104000.00,Dr
541,0.00,0.00,0.00,Dr
544,700000.00,0.00,700000.00,Dr
546,140000.00,0.00,140000.00,Dr
547,1243962.00,0.00,1243962.00,Dr
