ActualTownId,ActualSectorId,TownName
1,1,Chak Jhumra
3,3,Kabul
4,2,Peshawer 
5,1,Faisalabad
6,1,Dajkot
7,1,Lodhran
8,1,Sahiwal
9,1,Toba Tek Singh
10,1,Bahawalpur
11,1,Rahim Yar Khan
12,1,Jhang
13,1,Sargodha
14,1,Layyah
15,1,Kamaliya
16,1,Multan
17,1,Lahore
18,1,Qila dedar Singh QDS
19,1,Rawalpindi
20,1,Gujranwala
22,1,Islamabad
23,1,Attock
24,1,Bhakkar
25,1,Chakwal
26,1,Chiniot
27,1,Dera Gazi Khan DGK
28,1,Gujrat
29,1,Gojer Khan
30,1,Mianwali
31,1,Sialkot
32,2,Lucky Marwat
33,15,Quetta
34,14,Rohri
35,14,Sakkur
36,14,Hyderabad
37,14,Karachi
38,2,Surai Nurang
39,2,Surai Nurang
40,1,Samundri
41,1,Jaranwala
42,1,Hafizabad
43,1,OKARA
44,1,Satiyana
45,1,PakPattan
46,1,Muzaffarghar
47,2,"Mangora,Sawat"
48,2,Sawaat
49,2,Cuttling
50,2,Boneer 
51,2,Khaal
