AccountNo,UserNo,AccountName,AccountType,AccountDepth,Narration,ParentAccountNo,OpeningDebit,OpeningCredit,AdjustedDebit,AdjustedCredit,IsDetailed,IsLocked,IsPosted,IsEditable,BalFlag,PLFlag,ExpFlag
1,1,Assets,Asset,0,,,0.00,0.00,0.00,0.00,False,True,True,False,False, ,False
11,1,Current Assets,Asset,1,,1,0.00,0.00,0.00,0.00,False,True,True,False,False, ,False
111,1,Cash In Hand,Asset,2,,11,0.00,0.00,0.00,0.00,True,False,True,False,True,+,False
112,1,Bank Accounts,Asset,2,,11,0.00,0.00,0.00,0.00,False,True,True,False,True, ,False
113,1,Inventory,Asset,2,,11,0.00,0.00,0.00,0.00,False,False,True,False,True, ,False
1131,1,Opening stock,Asset,3,,113,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1132,1,Stock purchased,Asset,3,,113,0.00,0.00,0.00,0.00,False,False,True,False,False, ,False
11321,1,Purchase stock value,Asset,4,,1132,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
11322,1,Returned stock value,Asset,4,,1132,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1133,1,Stock sold,Asset,3,,113,0.00,0.00,0.00,0.00,False,False,True,False,False, ,False
11331,1,Sold stock original value,Asset,4,,1133,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
11332,1,Returned stock original value,Asset,4,,1133,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1134,1,Stockgot from expiry claims,Asset,3,,113,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1135,1,Stock given for expiry claims,Asset,3,,113,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1136,1,Stock expired,Asset,3,,113,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1137,1,Stock Productions,Asset,3,,113,0.00,0.00,0.00,0.00,False,False,True,False,False, ,False
1137001,1,Actual Cost Of Consume Stock,Asset,4,,1137,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1137002,1,Actual Cost Of Produce Stock,Asset,4,,1137,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1138,1,Stock Packings,Asset,3,,113,0.00,0.00,0.00,0.00,False,False,True,False,False, ,False
1138001,1,Actual Cost Of Packing Consume,Asset,4,,1138,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1138002,1,Actual Cost Of Finish Goods,Asset,4,,1138,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
12,1,Fixed Assets,Asset,1,,1,0.00,0.00,0.00,0.00,False,True,True,False,False, ,False
12001,1,HBL Instalment,Asset,2,,12,0.00,0.00,0.00,0.00,True,False,True,True,False,,True
12002,1,Instalment of Moter Bike,Asset,2,,12,0.00,0.00,0.00,0.00,True,False,True,True,False,,True
12003,1,Instalment of Moter Car,Asset,2,,12,0.00,0.00,0.00,0.00,True,False,True,True,False,,True
121,1,Auto vehicles,Asset,2,,12,0.00,0.00,0.00,0.00,False,False,True,True,True, ,False
1211,1,Auto vehicles: Original value,Asset,3,,121,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
1212,1,Auto vehicles: Depriciatiion,Asset,3,Accumulated depriciation,121,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
122,1,Furniture and fixture,Asset,2,,12,0.00,0.00,0.00,0.00,False,False,True,True,True, ,False
1221,1,Fur and Fix: Original value,Asset,3,,122,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
1222,1,Fur and Fix: Depriciation,Asset,3,Accumulated depriciation,122,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
123,1,Building and grounds,Asset,2,,12,0.00,0.00,0.00,0.00,False,False,True,True,True, ,False
1231,1,Building and G: Original value,Asset,3,,123,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
1232,1,Building and G: Depriciation,Asset,3,Accumulated depriciation,123,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
124,1,Office equipment,Asset,2,,12,0.00,0.00,0.00,0.00,False,False,True,True,True, ,False
1241,1,Office equip: Original value,Asset,3,,124,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
1242,1,Office equip: Depriciation..,Asset,3,Accumulated depriciation,124,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
125,1,Computer & software,Asset,2,,12,0.00,0.00,0.00,0.00,False,False,True,True,True, ,False
1251,1,Comp and Soft: Original value,Asset,3,,125,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
1252,1,Comp and Soft: Depriciation,Asset,3,Accumulated depriciation,125,0.00,0.00,0.00,0.00,True,False,True,True,False, ,False
13,1,Other assets,Asset,1,,1,0.00,0.00,0.00,0.00,False,False,True,False,True, ,False
13001,1,Factory Machinery Purchase,Asset,2,,13,0.00,0.00,0.00,0.00,True,False,True,True,False,,True
131,1,Salestax receivable,Asset,2,,13,0.00,0.00,0.00,0.00,False,False,True,False,False, ,False
1311,1,Salestax paid on opening,Asset,3,,131,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1312,1,Salestax paid on purchase,Asset,3,,131,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1313,1,Salestax received on return,Asset,3,Salestax received from purchase return,131,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1314,1,Salestax received on sales,Asset,3,,131,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
1315,1,Salestax paid on sales return,Asset,3,,131,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
132,1,Prepaid expenses,Asset,2,,13,0.00,0.00,0.00,0.00,False,False,True,True,False, ,False
133,1,Deposits and securities,Asset,2,,13,0.00,0.00,0.00,0.00,False,False,True,True,False, ,False
134,1,Long term investment,Asset,2,,13,0.00,0.00,0.00,0.00,False,False,True,True,False, ,False
14,1,Car Purchase Payment,Asset,1,,1,0.00,0.00,0.00,0.00,False,False,True,True,False,,False
14001,1,Car Sale And Purchase,Asset,2,,14,0.00,0.00,0.00,0.00,True,False,True,True,False,,False
2,1,Liabilities,Liability,0,,,0.00,0.00,0.00,0.00,False,True,True,False,True, ,False
21,1,Short term liabilities,Liability,1,,2,0.00,0.00,0.00,0.00,False,False,True,True,False, ,False
21001,1,Atta Lab,Liability,2,,21,0.00,0.00,0.00,0.00,True,False,True,True,False,,True
21002,1,Anaiyat Aluminium Door,Liability,2,,21,0.00,0.00,0.00,0.00,True,False,True,True,False,,True
21008,1,Riaz Karachi,Liability,2,,21,0.00,0.00,0.00,0.00,True,False,True,True,False,,True
22,1,Long term liabilities,Liability,1,,2,0.00,0.00,0.00,0.00,False,False,True,True,False, ,False
3,1,Equity,Capital,0,,,0.00,0.00,0.00,0.00,False,True,True,False,False, ,False
31,1,Capital investment,Capital,1,,3,0.00,0.00,0.00,0.00,False,False,True,False,True, ,False
31002,1,Zafer Iqbal Saudia,Capital,2,,31,0.00,0.00,0.00,0.00,True,False,True,True,False,,True
31003,1,Rana Asad,Capital,2,,31,0.00,0.00,0.00,0.00,True,False,True,True,False,,True
32,1,Withdrawls,Capital,1,,3,0.00,0.00,0.00,0.00,False,False,True,False,True, ,False
33,1,Last year earnings,Capital,1,,3,0.00,0.00,0.00,0.00,False,False,True,False,True, ,False
34,1,Current year earnings,Capital,1,,3,0.00,0.00,0.00,0.00,False,False,True,False,True, ,False
4,1,Revenue,Revenue,0,,,0.00,0.00,0.00,0.00,False,True,True,False,False, ,False
41,1,Net Sales,Revenue,1,,4,0.00,0.00,0.00,0.00,False,False,True,False,False,+,False
411,1,Gross sales value,Revenue,2,,41,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
412,1,Sales returned value,Revenue,2,,41,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
42,1,Revenue through vendor claims,Revenue,1,,4,0.00,0.00,0.00,0.00,True,False,True,False,False,+,False
49,1,Other income,Revenue,1,,4,0.00,0.00,0.00,0.00,True,False,True,True,False,+,False
5,1,Expense,Expense,0,,,0.00,0.00,0.00,0.00,False,True,True,False,False, ,False
51,1,Sales expenses,Expense,1,,5,0.00,0.00,0.00,0.00,False,False,True,False,False,-,False
511,1,Cost ofgoods sold,Expense,2,,51,0.00,0.00,0.00,0.00,False,False,True,False,False, ,False
5111,1,Actual cost of sold stock,Expense,3,,511,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
5112,1,Actual cost of returned stock,Expense,3,,511,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
5113,1,MACHINE REPAIR AND MAINTENANCE,Expense,3,,511,0.00,0.00,0.00,0.00,True,False,True,True,False,-,True
512,1,Discounts,Expense,2,,51,0.00,0.00,0.00,0.00,False,False,True,False,False, ,False
5121,1,Special discount on sale,Expense,3,,512,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
5122,1,Special discount returned,Expense,3,,512,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
5123,1,Discount on recovery,Expense,3,,512,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
513,1,Customer claimed stock value,Expense,2,,51,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
514,1,Expired stock actual value,Expense,2,,51,0.00,0.00,0.00,0.00,True,False,True,False,False, ,False
515,1,Purchase Return Cost Difference,Expense,2,,51,0.00,0.00,0.00,0.00,True,False,True,False,False,-,False
518,1,Salery SalesMan,Expense,2,,51,0.00,0.00,0.00,0.00,True,False,True,True,False,-,True
519,1,L.C MARKET EXP,Expense,2,,51,0.00,0.00,0.00,0.00,True,False,True,True,False,-,True
52,1,General and admin expenses,Expense,1,,5,0.00,0.00,0.00,0.00,False,False,True,True,False,-,False
52001,1,Factory Kitchen,Expense,2,,52,0.00,0.00,0.00,0.00,True,False,True,True,False,-,True
