SerialNo,CollectionId,CustomerId,CompanyID,Amount,Discount,isDeleted,Remarks,PrevBal
2,2,620045,,300000.00,0.00,False,,-1417547.00
3,3,620049,,185400.00,0.00,False,,-160922.00
4,4,620010,,100000.00,0.00,False,,3091716.00
5,5,620080,,292950.00,0.00,False,,300000.00
6,6,620103,,30000.00,0.00,False,,30000.00
7,7,620096,,300000.00,0.00,False,,2150100.00
8,8,620007,,50000.00,0.00,False,,448855.00
9,9,620027,,674142.00,0.00,False,,674142.00
10,10,620041,,1000000.00,0.00,False,,5853114.00
11,11,620071,,100000.00,0.00,False,,3418600.00
12,12,620096,,100000.00,0.00,False,,2110100.00
13,13,620041,,1200000.00,0.00,False,,4953114.00
14,14,620104,,156000.00,0.00,False,,0.00
15,15,620049,,674500.00,0.00,False,,-15922.00
16,16,620012,,250000.00,0.00,False,,-242106.00
17,17,620015,,150000.00,0.00,False,,3379965.00
18,18,620096,,400000.00,0.00,False,,2010100.00
19,19,620061,,45000.00,0.00,False,,45624.00
20,20,620099,,100000.00,0.00,False,,346780.00
21,21,620096,,500000.00,0.00,False,,1610100.00
22,22,620010,,150000.00,0.00,False,,2991716.00
23,23,620041,,1000000.00,0.00,False,,3897114.00
24,24,620015,,100000.00,0.00,False,,3229965.00
25,25,620010,,50000.00,0.00,False,,2841716.00
26,26,620041,,300000.00,0.00,False,,3073984.00
27,27,620045,,300000.00,0.00,False,,-1717547.00
28,28,620060,,1000000.00,0.00,False,,43777297.00
29,29,620041,,500000.00,0.00,False,From Kazim,2773984.00
30,30,620060,,200000.00,0.00,False,From Abubaker,42777297.00
31,31,620008,,250000.00,0.00,False,,10182275.00
32,32,620060,,300000.00,0.00,False,,42577297.00
33,33,620041,,600000.00,0.00,False,,2273984.00
34,34,620071,,200000.00,0.00,False,,3318600.00
35,35,620010,,100000.00,0.00,False,,2791716.00
36,36,620020,,500000.00,0.00,False,,-4019000.00
37,37,620091,,100000.00,0.00,False,,5192848.00
38,38,620008,,50000.00,0.00,False,,9932275.00
39,39,620041,,200000.00,0.00,False,From Karachi,1673984.00
40,40,620010,,50000.00,0.00,False,,2691716.00
41,41,620027,,300000.00,0.00,False,,0.00
42,42,620010,,100000.00,0.00,False,,2641716.00
43,43,620060,,350000.00,0.00,False,,42277297.00
44,44,620060,,150000.00,0.00,False,,41927297.00
45,45,620010,,100000.00,0.00,False,,2541716.00
46,46,620045,,200000.00,0.00,False,,-2017547.00
47,47,620008,,100000.00,0.00,False,,9882275.00
48,48,620031,,150000.00,0.00,False,,30000.00
49,49,620045,,100000.00,0.00,False,,-2217547.00
50,50,620096,,500000.00,0.00,False,,2539500.00
51,51,620020,,300000.00,0.00,False,,-3663000.00
52,52,620041,,100000.00,0.00,False,,1790984.00
53,53,620027,,400000.00,0.00,False,,400000.00
54,54,620060,,1000000.00,0.00,False,,55232673.00
55,55,620060,,200000.00,0.00,False,From Abubaker,54232673.00
56,56,620008,,88500.00,0.00,False,,9890075.00
57,57,620060,,500000.00,0.00,False,,60803921.00
58,58,620096,,500000.00,0.00,False,,2620900.00
59,59,620060,,500000.00,0.00,False,,60303921.00
60,60,620091,,50000.00,0.00,False,,5092848.00
61,61,620008,,100000.00,0.00,False,,9801575.00
62,62,620109,,250000.00,0.00,False,,-87780.00
63,63,620015,,100000.00,0.00,False,,3216365.00
64,64,620060,,300000.00,0.00,False,,59803921.00
65,65,620008,,200000.00,0.00,False,,9701575.00
66,66,620041,,649513.00,0.00,False,From HYD,1690984.00
67,67,620060,,500000.00,0.00,False,From Sialkot,59503921.00
68,68,620071,,100000.00,0.00,False,,3593800.00
69,69,620031,,105000.00,0.00,False,,135000.00
70,70,620020,,300000.00,0.00,False,,-3963000.00
71,71,620041,,2000000.00,0.00,False,,1141471.00
72,72,620045,,200000.00,0.00,False,,-296743.00
73,73,620060,,250000.00,0.00,False,From Sialkot Received 02-6-26,59003921.00
74,74,620060,,250000.00,0.00,False,From Sialkot Received 03-6-26,58753921.00
75,75,620060,,500000.00,0.00,False,Received 03-6-26,58503921.00
76,76,620060,,650000.00,0.00,False,Received 4-6-26,58003921.00
77,77,620060,,400000.00,0.00,False,From AbuBaker Received 5-6-26,57353921.00
78,78,620060,,500000.00,0.00,False,Received 5-6-26,56953921.00
79,79,620060,,200000.00,0.00,False,Received 6-6-26,56453921.00
80,80,620060,,1000000.00,0.00,False,Receiced 8-6-26,56253921.00
81,81,620060,,250000.00,0.00,False,RCVD 9-6-26,55253921.00
82,82,620060,,300000.00,0.00,False,From Sialkot RCVD 9-6-26,55003921.00
83,83,620060,,250000.00,0.00,False,RCVD 10-6-26,54703921.00
84,84,620041,,370000.00,0.00,False,From Saleem,-858529.00
85,85,620027,,600000.00,0.00,False,,0.00
86,86,620099,,100000.00,0.00,False,,517780.00
87,87,620045,,100000.00,0.00,False,,-496743.00
88,88,620041,,500000.00,0.00,False,From Hafeez Memon,-1228529.00
89,89,620078,,400000.00,0.00,False,,-389977.00
90,90,620007,,50000.00,0.00,False,,418855.00
91,91,620096,,500000.00,0.00,False,,2375900.00
92,92,620012,,250000.00,0.00,False,,-308336.00
93,93,620049,,1276500.00,0.00,False,,-15922.00
94,94,620015,,200000.00,0.00,False,,3196365.00
95,95,620024,,200000.00,0.00,False,,200000.00
96,96,620041,,500000.00,0.00,False,,-151529.00
97,97,620010,,100000.00,0.00,False,,2989732.00
98,98,620031,,80000.00,0.00,False,,30000.00
99,99,620012,,50000.00,0.00,False,,-558336.00
100,100,620027,,500000.00,0.00,False,,155410.00
101,101,620071,,105600.00,0.00,False,,3570800.00
102,102,620041,,350000.00,0.00,False,,-651529.00
103,103,620015,,80000.00,0.00,False,,2996365.00
104,104,620008,,480000.00,0.00,False,,9989711.00
105,105,620045,,200000.00,0.00,False,,-596743.00
106,106,620096,,500000.00,0.00,False,,3036400.00
107,107,620010,,50000.00,0.00,False,,2889732.00
108,108,620020,,500000.00,0.00,False,,-3965000.00
109,109,620111,,1540000.00,0.00,False,DR WADOOD FAT,1540000.00
110,110,620031,,36000.00,0.00,False,DR KHALID 30+6,-50000.00
111,111,620031,,150000.00,0.00,False,,-86000.00
112,112,620007,,13000.00,0.00,False,,368855.00
113,113,620092,,50000.00,0.00,False,,292140.00
114,114,620007,,18000.00,0.00,False,,355855.00
115,115,620031,,87000.00,0.00,False,12+75,53000.00
116,116,620091,,100000.00,0.00,False,,5042848.00
117,117,620060,,1500000.00,0.00,False,,55553921.00
118,118,620113,,15000.00,0.00,False,,15000.00
119,119,620091,,100000.00,0.00,False,,4942848.00
120,120,620103,,30000.00,0.00,False,,30000.00
121,121,620071,,95000.00,0.00,False,,3850200.00
122,122,620112,,120000.00,0.00,False,RCVD FROM FR KALEEM,120000.00
123,123,620041,,200000.00,0.00,False,RCVD FROM QAZIM,-468929.00
124,124,620041,,300000.00,0.00,False,,-668929.00
125,125,620008,,23000.00,0.00,False,,9509711.00
126,126,620104,,588000.00,0.00,False,,468000.00
127,127,620010,,30000.00,0.00,False,,3010132.00
