ProductId,BatchNo,Quantity,Cost,ExpiryDate
00016,0001,71.000000000,568.13160,09/04/2028 00:00:00
00022,0001,10.000000000,438.57236,10/09/2028 00:00:00
00032,0001,60.000000000,276.71457,10/19/2028 00:00:00
00040,0001,192.000000000,6983.61982,09/07/2028 00:00:00
00048,0001,20.000000000,1500.00000,09/25/2034 00:00:00
00049,0001,88.000000000,674.98684,09/06/2028 00:00:00
00050,0001,24.000000000,433.73276,10/11/2028 00:00:00
00124,0001,60.000000000,5000.00000,07/29/2034 00:00:00
00125,0001,2.000000000,633.26668,10/12/2028 00:00:00
00137,0001,3.000000000,2655.00111,09/25/2034 00:00:00
00150,0001,5.000000000,951.65966,09/25/2034 00:00:00
00154,0001,3873.000000000,60.00000,09/25/2034 00:00:00
00156,0001,2.000000000,1500.00000,09/25/2034 00:00:00
00159,0001,2.000000000,130.00000,09/25/2034 00:00:00
00160,0001,10.000000000,4500.00000,09/25/2034 00:00:00
00161,001,45.000000000,210.00000,09/25/2034 00:00:00
00180,0001,5.000000000,1561.84221,09/10/2028 00:00:00
00212,0001,1.000000000,1519.39872,09/06/2028 00:00:00
00231,0001,202.000000000,446.87502,10/09/2028 00:00:00
00245,0001,1.000000000,7500.00000,09/25/2034 00:00:00
00248,0001,500.000000000,49.46529,10/09/2028 00:00:00
00363,0001,536.000000000,14000.00000,07/22/2028 00:00:00
00369,0001,975.000000000,222.94897,08/12/2034 00:00:00
00416,001,95.000000000,50000.00000,11/02/2028 00:00:00
01001,0001,4.050000000,1850.00000,07/21/2034 00:00:00
01002,0001,60.350000000,279.03091,07/21/2034 00:00:00
01003,0001,6452.750000000,13.25752,07/21/2034 00:00:00
01004,0001,5.713000000,400.00000,07/29/2034 00:00:00
01005,0001,11.404000000,1500.00000,07/21/2034 00:00:00
01007,0001,2564.900000000,35.00000,08/02/2034 00:00:00
01008,0001,180.000000000,22.50000,09/06/2034 00:00:00
01009,0001,17.183750000,2199.68505,07/21/2034 00:00:00
01009,001,40.072650000,2200.00000,10/05/2028 00:00:00
01010,0001,24.228000000,2800.00000,07/21/2034 00:00:00
01011,0001,0.180000000,4840.91985,07/21/2034 00:00:00
01012,0001,3.788400000,4000.00000,07/21/2034 00:00:00
01013,0001,18.282750000,259.62717,07/21/2034 00:00:00
01015,0001,12960.000000000,17.00000,10/06/2034 00:00:00
01016,0001,12250.000000000,10.00000,07/21/2034 00:00:00
01017,0001,16.526000000,3370.67997,07/22/2034 00:00:00
01018,0001,25.000000000,560.00000,09/07/2034 00:00:00
01019,0001,1.400000000,5200.00000,10/28/2028 00:00:00
01020,0001,181.646000000,313.24849,07/22/2034 00:00:00
01021,0001,3.004000000,340.07146,07/21/2034 00:00:00
01022,0001,0.005168000,4000.00000,07/23/2034 00:00:00
01023,0001,0.128000000,7043.77043,07/22/2034 00:00:00
01025,0001,0.100000000,7200.00000,08/12/2034 00:00:00
01027,0001,83.000000000,400.00000,09/09/2034 00:00:00
01027,001,2.550000000,400.00000,10/07/2028 00:00:00
01028,0001,20.956000000,1650.00000,07/22/2034 00:00:00
01031,0001,19.183000000,6494.72991,07/22/2034 00:00:00
01033,0001,2610.000000000,50.00000,08/02/2034 00:00:00
01034,0001,56.455000000,525.41335,07/22/2034 00:00:00
01035,0001,2.100000000,1278.57143,09/06/2034 00:00:00
01036,0001,185.997000000,650.00233,07/22/2034 00:00:00
01038,0001,125.780000000,647.21736,07/22/2034 00:00:00
01038,001,24.385000000,650.00000,10/01/2028 00:00:00
01039,0001,20.000000000,4000.00000,07/22/2034 00:00:00
01041,0001,10.219000000,560.00047,07/22/2034 00:00:00
01042,0001,95.980000000,168.80551,07/22/2034 00:00:00
01043,0001,4071.685000000,13.75000,08/24/2034 00:00:00
01044,0001,108.961000000,128.00000,10/12/2028 00:00:00
01044,001,26.875000000,128.00000,10/01/2034 00:00:00
01045,0001,280.865000000,287.85446,07/22/2034 00:00:00
01045,001,134.986000000,350.00000,10/02/2028 00:00:00
01046,0001,17.160000000,10502.10290,07/22/2034 00:00:00
01047,0001,32.000000000,67.64758,09/08/2034 00:00:00
01048,0001,5.182000000,1405.95140,07/22/2034 00:00:00
01050,0001,16.506550000,3086.04001,07/22/2034 00:00:00
01052,0001,0.002740000,14500.00000,07/22/2034 00:00:00
01053,0001,6.012300000,15760.34525,07/22/2034 00:00:00
01054,0001,10.675000000,16752.11170,07/22/2034 00:00:00
01055,0001,54.015700000,1549.99494,07/22/2034 00:00:00
01056,0001,6.524240000,18697.38365,07/22/2034 00:00:00
01057,0001,15.105000000,12640.67293,07/22/2034 00:00:00
01058,0001,12.431000000,1449.92236,07/22/2034 00:00:00
01060,0001,64.364400000,950.00000,07/22/2034 00:00:00
01060,001,7.689400000,950.00000,10/05/2028 00:00:00
01065,0001,47.000000000,265.00000,07/23/2034 00:00:00
01070,0001,1.000000000,5000.00000,11/01/2028 00:00:00
01072,0001,11.301440000,9146.17902,07/22/2034 00:00:00
01073,0001,16.471500000,373.47646,07/29/2034 00:00:00
01074,00001,2.000000000,4000.00000,10/15/2028 00:00:00
01075,0001,5.560000000,4692.51124,07/23/2034 00:00:00
01080,0001,8.000000000,5525.00000,07/22/2034 00:00:00
01082,0001,5.000000000,7200.00000,09/06/2034 00:00:00
01104,0001,10.080000000,1100.00000,07/22/2034 00:00:00
01105,0001,19.476000000,414.58858,07/22/2034 00:00:00
01114,001,7000.000000000,17.00000,10/02/2028 00:00:00
01115,0001,0.620000000,1200.00000,07/21/2034 00:00:00
01115,001,6.600000000,650.00000,10/05/2028 00:00:00
01117,0001,0.260000000,420.00000,07/22/2034 00:00:00
01133,0001,25.000000000,1300.00000,07/22/2034 00:00:00
01143,0001,36.006500000,3396.86396,07/22/2034 00:00:00
01175,0001,35.000000000,320.00000,07/22/2034 00:00:00
01176,0001,0.230000000,9500.00000,09/04/2034 00:00:00
01182,0001,36.000000000,466.84221,09/06/2034 00:00:00
01184,0001,63.620000000,366.99993,07/21/2034 00:00:00
01186,001,7.500000000,70.00000,10/05/2028 00:00:00
01187,0001,13.825000000,387.09074,07/22/2034 00:00:00
01189,0001,26.480000000,700.01943,07/22/2034 00:00:00
01193,0001,10.400000000,908.46154,10/16/2028 00:00:00
01195,0001,85.000000000,656.47059,07/21/2034 00:00:00
01196,0001,20.000000000,1250.00000,09/16/2034 00:00:00
01197,0001,1.000000000,4500.00000,09/16/2034 00:00:00
01201,0001,90.000000000,750.00000,10/29/2028 00:00:00
01201,001,10.000000000,750.00000,10/02/2028 00:00:00
01206,0001,7.000000000,5342.85714,07/29/2034 00:00:00
01207,0001,2.000000000,12500.00000,08/24/2034 00:00:00
01208,0001,0.100000000,55000.00000,10/09/2034 00:00:00
01209,0001,2.000000000,3500.00000,10/14/2028 00:00:00
02002,0001,6.000000000,208.00000,10/15/2028 00:00:00
02003,0001,5.000000000,216.00000,07/22/2034 00:00:00
02004,0001,221.000000000,227.03717,10/28/2028 00:00:00
02006,0001,30.000000000,146.41477,09/06/2034 00:00:00
02007,0001,51.000000000,260.00000,11/03/2028 00:00:00
02009,0001,3375.000000000,20.00000,10/16/2028 00:00:00
02010,0001,10985.000000000,8.43723,10/15/2028 00:00:00
02010,001,760.000000000,8.00000,10/01/2034 00:00:00
02013,0001,76.000000000,390.00000,07/22/2034 00:00:00
02014,0001,868.000000000,439.99955,07/22/2034 00:00:00
02015,0001,30.000000000,350.00000,10/12/2028 00:00:00
02019,0001,12955.000000000,11.50000,06/30/2027 00:00:00
02020,0001,5350.000000000,12.00000,06/30/2027 00:00:00
02026,0001,50.000000000,30.00000,10/27/2028 00:00:00
02027,0001,204.000000000,22.22222,09/07/2034 00:00:00
02029,0001,67.000000000,20.00000,07/29/2034 00:00:00
02031,0001,30.000000000,40.00000,10/12/2028 00:00:00
02032,0001,19.000000000,155.00000,07/22/2034 00:00:00
02033,0001,96.000000000,155.00000,07/22/2034 00:00:00
02034,0001,56.000000000,80.00000,07/22/2034 00:00:00
02034,001,156.000000000,100.00000,10/05/2028 00:00:00
02035,0001,580.000000000,30.00000,07/22/2034 00:00:00
02041,0001,7.000000000,136.66667,10/26/2028 00:00:00
02042,0001,66.000000000,40.00000,07/29/2034 00:00:00
02048,0001,2.000000000,40.00000,11/02/2028 00:00:00
02051,0001,10315.000000000,30.00000,06/30/2027 00:00:00
02053,0001,933.000000000,70.00000,07/22/2034 00:00:00
02054,0001,1.000000000,190.00000,10/27/2028 00:00:00
02059,0001,150.000000000,170.39024,10/14/2028 00:00:00
02060,0001,5.000000000,140.00000,11/02/2028 00:00:00
02091,0001,16.000000000,40.00000,10/12/2028 00:00:00
02096,0001,15.000000000,40.00000,11/02/2028 00:00:00
02097,0001,294.000000000,230.00000,10/14/2028 00:00:00
02097,001,372.000000000,230.00000,10/01/2034 00:00:00
02106,0001,205.000000000,20.00000,07/29/2034 00:00:00
02118,0001,1.000000000,251.00000,09/20/2034 00:00:00
02125,001,75.000000000,33.00000,10/06/2028 00:00:00
02126,0001,2.000000000,140.00000,10/12/2028 00:00:00
02127,0001,1000.000000000,33.00000,11/01/2028 00:00:00
02128,0001,228.000000000,1069.61115,08/12/2034 00:00:00
02129,0001,22.000000000,75.00000,10/27/2028 00:00:00
02131,0001,365.000000000,20.00000,07/29/2034 00:00:00
02132,0001,234.000000000,20.00000,08/06/2028 00:00:00
02133,0001,255.000000000,20.00000,07/29/2034 00:00:00
02140,0001,6.000000000,1100.00000,09/04/2034 00:00:00
02141,0001,320.000000000,20.00000,08/06/2028 00:00:00
02141,PI012321,32.000000000,40.00000,10/01/2028 00:00:00
02144,0001,222.000000000,20.00000,07/29/2028 00:00:00
02145,0001,404.000000000,22.75862,08/06/2028 00:00:00
02146,0001,45.000000000,75.00000,10/16/2028 00:00:00
02147,0001,14.000000000,40.00000,10/27/2028 00:00:00
02151,0001,8.000000000,33.00000,10/13/2028 00:00:00
02160,0001,283.000000000,40.00000,09/09/2034 00:00:00
02163,0001,65.000000000,40.00000,10/27/2028 00:00:00
02168,0001,180.000000000,40.00000,10/27/2028 00:00:00
02172,0001,230.000000000,30.00000,01/30/2028 00:00:00
02173,0001,80.000000000,156.25000,07/22/2034 00:00:00
02174,0001,108.000000000,100.00000,08/23/2034 00:00:00
02191,0001,9880.000000000,17.00000,06/30/2027 00:00:00
02200,0001,64.000000000,40.00000,10/16/2028 00:00:00
02200,001,65.000000000,40.00000,10/02/2028 00:00:00
02204,0001,5.000000000,40.00000,11/02/2028 00:00:00
02210,0001,14.000000000,40.00000,10/27/2028 00:00:00
02212,0001,475.000000000,20.00000,07/29/2034 00:00:00
02213,0001,924.000000000,168.00000,10/27/2028 00:00:00
02222,0001,30.000000000,40.00000,07/29/2034 00:00:00
02224,0001,4330.000000000,11.50000,06/30/2027 00:00:00
02234,0001,10.000000000,140.00000,11/02/2028 00:00:00
02245,0001,292.000000000,40.00000,09/09/2034 00:00:00
02258,0001,269.000000000,41.51137,07/22/2034 00:00:00
02265,0001,92.000000000,40.00000,09/09/2034 00:00:00
02265,001,32.000000000,40.00000,10/06/2034 00:00:00
02267,0001,30.000000000,40.00000,10/27/2028 00:00:00
02271,0001,11.000000000,40.00000,10/27/2028 00:00:00
02272,0001,64.000000000,40.00000,08/12/2034 00:00:00
02272,001,3.000000000,40.00000,10/01/2028 00:00:00
02274,0001,238.000000000,100.00000,10/20/2028 00:00:00
02277,0001,1031.000000000,167.98739,07/22/2034 00:00:00
02278,0001,80.000000000,12.00000,07/22/2028 00:00:00
02289,0001,12.000000000,40.00000,09/06/2034 00:00:00
02291,0001,178.000000000,40.00000,09/06/2034 00:00:00
02291,001,3.000000000,40.00000,10/05/2028 00:00:00
