SerialNo,AccountNo,VoucherNo,VoucherDate,Narration,Debit
1,64002,1,05/01/2026 00:00:00,House Paint + Saintry Pipe,65000.00
5,52023,2,05/02/2026 00:00:00,Nasir Mistry Factory,100000.00
6,64002,2,05/02/2026 00:00:00,House Paint,34580.00
7,64002,2,05/02/2026 00:00:00,House Use ,34000.00
8,549,2,05/02/2026 00:00:00,Saleem HYD,1500000.00
25,52009,4,05/04/2026 00:00:00,Yaris Rent,150000.00
26,64002,4,05/04/2026 00:00:00,Masjid,70000.00
27,620041,4,05/04/2026 00:00:00,Salary Faisal Sakhar,100000.00
28,610018,4,05/04/2026 00:00:00,Amm.Sprit + Eucluptus Oil +Peppermint Oil,185000.00
29,547,4,05/04/2026 00:00:00,Irfan I.TSoftware,15000.00
30,52001,4,05/04/2026 00:00:00,,97090.00
31,52014,4,05/04/2026 00:00:00,A.Rehman+Zafer Khan+arshad,400000.00
32,64002,4,05/04/2026 00:00:00,House use ,2270.00
33,52023,5,05/05/2026 00:00:00,Nasir Mistry Factory,200000.00
34,52023,5,05/05/2026 00:00:00,Mian Cement,300000.00
35,52014,5,05/05/2026 00:00:00,A.Zeeshan + Mehmood+Kashif QC,270000.00
36,610018,5,05/05/2026 00:00:00,ARQ,88000.00
37,547,5,05/05/2026 00:00:00,Mazdori,4500.00
38,64002,5,05/05/2026 00:00:00,House Mistry Shebaz ,20000.00
39,610018,5,05/05/2026 00:00:00,Eucluptus Oil,14000.00
40,547,5,05/05/2026 00:00:00,Shopper+Cleaning Saman,22000.00
41,549,5,05/05/2026 00:00:00,Saleem HYD,500000.00
42,64002,5,05/05/2026 00:00:00,House Paint,10000.00
43,12001,5,05/05/2026 00:00:00,Loan,3000000.00
44,52015,6,05/06/2026 00:00:00,Gujeranwala+Sialkot+Zain+Haroon+Noor+Adeel+Abdullah+Azhar+Ammar+Ateeq+Saiym+Kashif Minhas+Haras+,1385000.00
45,52014,6,05/06/2026 00:00:00,Labour Salary + Kaleem A,952250.00
46,610018,6,05/06/2026 00:00:00,Namek,63250.00
47,54001,6,05/06/2026 00:00:00,,500000.00
48,64002,6,05/06/2026 00:00:00,House Light,5000.00
49,620041,7,05/07/2026 00:00:00,Salary Qazim,100000.00
50,610019,7,05/07/2026 00:00:00,Bottle Pet + Dropper,152500.00
51,547,7,05/07/2026 00:00:00,Anwer Grinder Machin,19850.00
52,64002,7,05/07/2026 00:00:00,Nasir Saintry ,50000.00
53,610018,7,05/07/2026 00:00:00,Starch+Eucluptus Oil+Peppermint Oil+anise Oil,40750.00
54,52055,7,05/07/2026 00:00:00,Petrol Bike ,650.00
55,52055,7,05/07/2026 00:00:00,Petrol,10000.00
56,64002,7,05/07/2026 00:00:00,House Mistry Shebaz ,40000.00
57,64002,7,05/07/2026 00:00:00,House Paint Asif,30000.00
58,54001,7,05/07/2026 00:00:00,,500000.00
59,64002,7,05/07/2026 00:00:00,House Labour Mazdori,4500.00
60,64002,7,05/07/2026 00:00:00,Nasir Saintry Pipe,50000.00
61,64002,7,05/07/2026 00:00:00,House Paint,58950.00
