HistoryId,TimeKey,ProcessName,ProcessId,ProductId,BatchNoOld,QuantityOld,CostOld,BatchNoNew,QuantityNew,CostNew
1,,OpeningBatch,1,01002,,0,,0001,25,200.00000
2,,OpeningBatch,1,01002,0001,25,200.00000,0001,25,200.00000
3,,OpeningBatch,2,01195,,0,,0001,35,380.00000
4,,OpeningBatch,3,01010,,0,,0001,27,2800.00000
5,,OpeningBatch,4,01005,,0,,0001,12,1500.00000
6,,OpeningBatch,5,01009,,0,,0001,65,1650.00000
7,,OpeningBatch,6,01001,,0,,0001,4,1850.00000
8,,OpeningBatch,7,01184,,0,,0001,25,367.00000
9,,OpeningBatch,8,01003,,0,,0001,150,17.00000
10,,OpeningBatch,9,01011,,0,,0001,2,4000.00000
11,,OpeningBatch,10,01012,,0,,0001,7,4000.00000
12,,OpeningBatch,11,01115,,0,,0001,19,1200.00000
13,,OpeningBatch,12,01027,,0,,0001,14,350.00000
14,,OpeningBatch,13,01013,,0,,0001,15,160.00000
15,,OpeningBatch,14,01015,,0,,0001,2750,17.00000
16,,OpeningBatch,1,01002,0001,25,200.00000,0001,25,200.00000
17,,OpeningBatch,2,01195,0001,35,380.00000,0001,35,380.00000
18,,OpeningBatch,3,01010,0001,27,2800.00000,0001,27,2800.00000
19,,OpeningBatch,4,01005,0001,12,1500.00000,0001,12,1500.00000
20,,OpeningBatch,5,01009,0001,65,1650.00000,0001,65,1650.00000
21,,OpeningBatch,6,01001,0001,4,1850.00000,0001,4,1850.00000
22,,OpeningBatch,7,01184,0001,25,367.00000,0001,25,367.00000
23,,OpeningBatch,8,01003,0001,150,17.00000,0001,150,17.00000
24,,OpeningBatch,9,01011,0001,2,4000.00000,0001,2,4000.00000
25,,OpeningBatch,10,01012,0001,7,4000.00000,0001,7,4000.00000
26,,OpeningBatch,11,01115,0001,19,1200.00000,0001,19,1200.00000
27,,OpeningBatch,12,01027,0001,14,350.00000,0001,14,350.00000
28,,OpeningBatch,13,01013,0001,15,160.00000,0001,15,160.00000
29,,OpeningBatch,14,01015,0001,2750,17.00000,0001,2750,17.00000
30,,OpeningBatch,15,01016,,0,,0001,20000,10.00000
31,,OpeningBatch,16,01021,,0,,0001,7,380.00000
32,,OpeningBatch,1,01002,0001,25,200.00000,0001,25,200.00000
