PackingID,ProductID,Quantity,Cost,TTLValue,IsDeleted
1,02004,10.000000000,216.00000,2160.00000,False
1,02014,40.000000000,390.00000,15600.00000,False
1,02334,60.000000000,80.00000,4800.00000,False
1,03192,200.000000000,146.25000,29250.00000,False
2,02006,11.000000000,194.80000,2142.80000,False
2,02010,1100.000000000,10.00000,11000.00000,False
2,02086,1150.000000000,12.50000,14375.00000,False
2,03174,110.000000000,13.86000,1524.60000,False
3,02004,6.000000000,216.00000,1296.00000,False
3,02014,24.000000000,390.00000,9360.00000,False
3,02427,36.000000000,40.00000,1440.00000,False
3,03260,120.000000000,133.33000,15999.60000,False
4,02004,3.000000000,216.00000,648.00000,False
4,02014,12.000000000,390.00000,4680.00000,False
4,02421,20.000000000,40.00000,800.00000,False
4,03254,60.000000000,173.43000,10405.80000,False
5,02004,5.000000000,216.00000,1080.00000,False
5,02014,20.000000000,390.00000,7800.00000,False
5,02430,36.000000000,40.00000,1440.00000,False
5,03263,100.000000000,78.38000,7838.00000,False
6,02004,3.000000000,216.00000,648.00000,False
6,02014,12.000000000,390.00000,4680.00000,False
6,02425,24.000000000,40.00000,960.00000,False
6,03258,60.000000000,66.03000,3961.80000,False
7,02004,3.000000000,216.00000,648.00000,False
7,02014,12.000000000,390.00000,4680.00000,False
7,02423,20.000000000,40.00000,800.00000,False
7,03256,60.000000000,78.28000,4696.80000,False
8,02128,10.000000000,1000.00000,10000.00000,False
8,02428,10.000000000,90.00000,900.00000,False
8,03261,250.000000000,109.49000,27372.50000,False
9,02429,10.000000000,120.00000,1200.00000,False
9,03262,250.000000000,19.46154,4865.38500,False
10,02059,1.000000000,185.00000,185.00000,False
10,02097,12.000000000,218.83929,2626.07148,False
10,02265,15.000000000,40.00000,600.00000,False
10,03010,12.000000000,128.59000,1543.08000,False
11,02033,4.000000000,155.00000,620.00000,False
11,03014,100.000000000,15.46154,1546.15400,False
12,02274,150.000000000,80.00000,12000.00000,False
12,03163,3750.000000000,15.13333,56749.98750,False
13,02032,36.000000000,155.00000,5580.00000,False
13,03001,900.000000000,14.41000,12969.00000,False
14,02258,10.000000000,45.00000,450.00000,False
14,02307,10.000000000,155.00000,1550.00000,False
14,03046,250.000000000,16.77311,4193.27750,False
15,02004,13.000000000,216.00000,2808.00000,False
15,02014,52.000000000,390.00000,20280.00000,False
15,02330,80.000000000,80.00000,6400.00000,False
15,03190,260.000000000,475.31846,123582.79960,False
16,02128,20.000000000,1000.00000,20000.00000,False
16,02146,26.000000000,90.00000,2340.00000,False
16,03097,500.000000000,105.17000,52585.00000,False
17,02059,1.000000000,185.00000,185.00000,False
17,02097,12.000000000,218.83929,2626.07148,False
17,02431,15.000000000,40.00000,600.00000,False
17,03135,12.000000000,224.30000,2691.60000,False
18,02048,15.000000000,40.00000,600.00000,False
18,02059,1.000000000,185.00000,185.00000,False
18,02097,12.000000000,218.83929,2626.07148,False
18,03027,12.000000000,231.13000,2773.56000,False
19,02059,1.000000000,185.00000,185.00000,False
19,02097,12.000000000,218.83929,2626.07148,False
19,02300,15.000000000,40.00000,600.00000,False
19,03034,12.000000000,95.53000,1146.36000,False
20,02004,1.000000000,216.00000,216.00000,False
20,02014,4.000000000,390.00000,1560.00000,False
20,02124,12.000000000,40.00000,480.00000,False
20,03026,20.000000000,111.86000,2237.20000,False
21,02047,15.000000000,40.00000,600.00000,False
21,02059,1.000000000,185.00000,185.00000,False
21,02097,12.000000000,218.83929,2626.07148,False
21,03026,12.000000000,111.86000,1342.32000,False
22,02004,2.000000000,216.00000,432.00000,False
22,02014,8.000000000,390.00000,3120.00000,False
22,02025,12.000000000,40.00000,480.00000,False
22,03009,40.000000000,126.03500,5041.40000,False
23,02004,2.000000000,216.00000,432.00000,False
23,02014,8.000000000,390.00000,3120.00000,False
23,02323,12.000000000,40.00000,480.00000,False
23,03107,40.000000000,122.18000,4887.20000,False
24,02274,50.000000000,80.00000,4000.00000,False
24,03163,1250.000000000,10.00000,12500.00000,False
25,02004,2.000000000,216.00000,432.00000,False
25,02014,8.000000000,390.00000,3120.00000,False
25,03011,40.000000000,121.85000,4874.00000,False
26,03055,5000.000000000,17.65744,88287.20000,False
27,03021,1000.000000000,50.03050,50030.50000,False
28,02004,8.000000000,216.00000,1728.00000,False
28,02014,28.000000000,390.00000,10920.00000,False
28,03011,140.000000000,83.09732,11633.62480,False
29,02128,10.000000000,1000.00000,10000.00000,False
29,03104,250.000000000,142.54000,35635.00000,False
30,02128,11.000000000,1000.00000,11000.00000,False
30,02268,32.000000000,90.00000,2880.00000,False
30,03162,600.000000000,61.30667,36784.00200,False
31,02004,12.000000000,216.00000,2592.00000,False
31,02014,48.000000000,390.00000,18720.00000,False
31,02365,64.000000000,40.00000,2560.00000,False
31,03028,240.000000000,364.29667,87431.20080,False
32,02004,10.000000000,216.00000,2160.00000,False
32,02014,40.000000000,390.00000,15600.00000,False
32,02144,55.000000000,20.00000,1100.00000,False
32,03094,200.000000000,333.47500,66695.00000,False
33,02059,4.000000000,185.00000,740.00000,False
33,02097,48.000000000,218.83929,10504.28592,False
33,03096,48.000000000,84.90000,4075.20000,False
34,02004,27.000000000,216.00000,5832.00000,False
34,02014,110.000000000,390.00000,42900.00000,False
34,02147,150.000000000,40.00000,6000.00000,False
34,03054,520.000000000,96.58077,50222.00040,False
35,02014,44.000000000,390.00000,17160.00000,False
35,02364,64.000000000,40.00000,2560.00000,False
35,03215,220.000000000,627.55089,138061.19580,False
36,02004,7.000000000,216.00000,1512.00000,False
36,02014,28.000000000,390.00000,10920.00000,False
36,02427,50.000000000,40.00000,2000.00000,False
36,03260,140.000000000,132.06390,18488.94600,False
37,02032,5.000000000,155.00000,775.00000,False
37,03001,125.000000000,17.14393,2142.99125,False
38,02059,17.000000000,185.00000,3145.00000,False
38,02097,190.000000000,218.83929,41579.46510,False
38,02399,190.000000000,20.00000,3800.00000,False
38,03025,190.000000000,36.28044,6893.28360,False
39,02059,15.000000000,185.00000,2775.00000,False
39,02097,120.000000000,218.83929,26260.71480,False
39,02398,120.000000000,20.00000,2400.00000,False
39,03093,120.000000000,279.96915,33596.29800,False
40,02042,10.000000000,40.00000,400.00000,False
40,02213,10.000000000,155.00000,1550.00000,False
40,03019,250.000000000,17.31122,4327.80500,False
41,02004,6.000000000,216.00000,1296.00000,False
41,02014,50.000000000,390.00000,19500.00000,False
41,02216,72.000000000,40.00000,2880.00000,False
41,03075,240.000000000,44.17000,10600.80000,False
42,02032,210.000000000,155.00000,32550.00000,False
42,03001,5000.000000000,17.34808,86740.40000,False
43,02274,100.000000000,80.00000,8000.00000,False
43,03163,2500.000000000,17.68000,44200.00000,False
44,02307,49.000000000,155.00000,7595.00000,False
44,03151,1225.000000000,52.29363,64059.69675,False
45,02258,50.000000000,45.00000,2250.00000,False
45,02307,50.000000000,155.00000,7750.00000,False
45,03046,1250.000000000,16.73461,20918.26250,False
46,02433,1344.000000000,250.00000,336000.00000,False
46,03264,161.000000000,439.76038,70801.42118,False
47,02059,20.000000000,185.00000,3700.00000,False
47,02097,180.000000000,202.39915,36431.84700,False
47,03003,180.000000000,33.29028,5992.25040,False
48,02006,21.000000000,199.98987,4199.78727,False
48,02010,2100.000000000,9.12281,19157.90100,False
48,02018,2050.000000000,12.00000,24600.00000,False
48,03003,200.000000000,33.29028,6658.05600,False
49,02314,2420.000000000,12.50000,30250.00000,False
49,02316,2450.000000000,6.00000,14700.00000,False
49,02317,20.000000000,160.00000,3200.00000,False
49,03010,80.000000000,125.58658,10046.92640,False
50,02059,8.000000000,185.00000,1480.00000,False
50,02191,750.000000000,17.00000,12750.00000,False
50,03118,75.000000000,144.30610,10822.95750,False
51,02006,11.000000000,199.98987,2199.88857,False
51,02010,1050.000000000,9.12281,9578.95050,False
51,02313,1050.000000000,11.50000,12075.00000,False
51,03179,100.000000000,49.30753,4930.75300,False
52,02006,12.000000000,199.98987,2399.87844,False
52,02010,1100.000000000,9.12281,10035.09100,False
52,02020,1100.000000000,12.00000,13200.00000,False
52,03018,108.000000000,103.76888,11207.03904,False
53,02006,20.000000000,199.98987,3999.79740,False
53,02010,2100.000000000,9.12281,19157.90100,False
53,02278,2100.000000000,12.00000,25200.00000,False
53,03165,200.000000000,11.80986,2361.97200,False
54,02004,4.000000000,235.00000,940.00000,False
54,02019,400.000000000,11.50000,4600.00000,False
54,03012,38.000000000,116.77315,4437.37970,False
55,02004,10.000000000,235.00000,2350.00000,False
55,02014,40.000000000,390.00000,15600.00000,False
55,02332,60.000000000,80.00000,4800.00000,False
55,03191,200.000000000,73.00437,14600.87400,False
56,02004,5.000000000,235.00000,1175.00000,False
56,02014,20.000000000,390.00000,7800.00000,False
56,02334,30.000000000,80.00000,2400.00000,False
56,03192,100.000000000,168.24522,16824.52200,False
57,02004,9.000000000,216.60804,1949.47236,False
57,02014,35.000000000,390.00000,13650.00000,False
57,02337,50.000000000,80.00000,4000.00000,False
57,03194,160.000000000,93.75005,15000.00800,False
58,02004,8.000000000,216.60804,1732.86432,False
58,02014,35.000000000,390.00000,13650.00000,False
58,02336,50.000000000,80.00000,4000.00000,False
58,03193,160.000000000,247.91501,39666.40160,False
59,02004,25.000000000,216.60804,5415.20100,False
59,02014,105.000000000,390.00000,40950.00000,False
59,02330,140.000000000,80.00000,11200.00000,False
59,03190,500.000000000,410.24064,205120.32000,False
60,02033,10.000000000,155.00000,1550.00000,False
