PackingID,PackingDate,Remarks,ProductID,Quantity,BatchNo,ExpiryDate,Cost,TTLValue,Expense,UserNo,IsPosted
1,05/02/2026 00:00:00,,00278,40,0001,07/23/2028 00:00:00,1295.250000,51810.000000,0.00,1,False
2,05/02/2026 00:00:00,,00244,1100,0001,07/23/2028 00:00:00,26.402182,29042.400000,0.00,1,False
3,05/03/2026 00:00:00,,00364,24,0001,07/23/2028 00:00:00,1170.650000,28095.600000,0.00,1,False
4,05/03/2026 00:00:00,,00358,12,0001,07/23/2028 00:00:00,1377.816667,16533.800000,0.00,1,False
5,05/03/2026 00:00:00,,00367,20,0001,07/23/2028 00:00:00,907.900000,18158.000000,0.00,1,False
6,05/03/2026 00:00:00,,00362,12,0001,07/23/2028 00:00:00,854.150000,10249.800000,0.00,1,False
7,05/03/2026 00:00:00,,00360,12,0001,07/23/2028 00:00:00,902.066667,10824.800000,0.00,1,False
8,05/03/2026 00:00:00,,00365,10,0001,07/23/2028 00:00:00,3827.250000,38272.500000,0.00,1,False
9,05/03/2026 00:00:00,,00366,10,0001,07/23/2028 00:00:00,606.538500,6065.385000,0.00,1,False
10,05/03/2026 00:00:00,,00050,12,0001,07/23/2028 00:00:00,412.845957,4954.151480,0.00,1,False
11,05/03/2026 00:00:00,,00022,4,0001,07/23/2028 00:00:00,541.538500,2166.154000,0.00,1,False
12,05/03/2026 00:00:00,,00231,150,0001,07/23/2028 00:00:00,458.333250,68749.987500,0.00,1,False
13,05/03/2026 00:00:00,,00016,36,0001,07/23/2028 00:00:00,515.250000,18549.000000,0.00,1,False
14,05/04/2026 00:00:00,,00220,10,0001,07/23/2028 00:00:00,619.327750,6193.277500,0.00,1,False
15,05/05/2026 00:00:00,,00274,52,0001,07/23/2028 00:00:00,2943.669223,153070.799600,0.00,1,False
16,05/05/2026 00:00:00,,00137,20,0001,07/23/2028 00:00:00,3746.250000,74925.000000,0.00,1,False
17,05/05/2026 00:00:00,,00368,12,0001,07/23/2028 00:00:00,508.555957,6102.671480,0.00,1,False
18,05/05/2026 00:00:00,,00055,12,0001,07/23/2028 00:00:00,515.385957,6184.631480,0.00,1,False
19,05/05/2026 00:00:00,,00063,12,0001,07/23/2028 00:00:00,379.785957,4557.431480,0.00,1,False
20,05/05/2026 00:00:00,,00119,4,0001,07/23/2028 00:00:00,1123.300000,4493.200000,0.00,1,False
21,05/05/2026 00:00:00,,00054,12,0001,07/23/2028 00:00:00,396.115957,4753.391480,0.00,1,False
22,05/05/2026 00:00:00,,00046,8,0001,07/23/2028 00:00:00,1134.175000,9073.400000,0.00,1,False
23,05/05/2026 00:00:00,,00261,8,0001,07/23/2028 00:00:00,1114.900000,8919.200000,0.00,1,False
24,05/05/2026 00:00:00,,00231,50,0001,07/23/2028 00:00:00,330.000000,16500.000000,0.00,1,False
25,05/05/2026 00:00:00,,00052,8,0001,07/23/2028 00:00:00,1053.250000,8426.000000,0.00,1,False
26,05/05/2026 00:00:00,,00078,200,0001,07/23/2028 00:00:00,441.436000,88287.200000,0.00,1,False
27,05/05/2026 00:00:00,,00026,1000,0001,07/23/2028 00:00:00,50.030500,50030.500000,0.00,1,False
28,05/06/2026 00:00:00,,00052,28,0001,07/24/2028 00:00:00,867.200886,24281.624800,0.00,1,False
29,05/06/2026 00:00:00,,00147,10,0001,07/24/2028 00:00:00,4563.500000,45635.000000,0.00,1,False
30,05/06/2026 00:00:00,,00228,24,0001,07/24/2028 00:00:00,2111.000083,50664.002000,0.00,1,False
31,05/07/2026 00:00:00,,00177,48,0001,07/29/2028 00:00:00,2318.816683,111303.200800,0.00,1,False
32,05/07/2026 00:00:00,,00135,40,0001,07/29/2028 00:00:00,2138.875000,85555.000000,0.00,1,False
33,05/07/2026 00:00:00,,00356,48,0001,07/29/2028 00:00:00,319.155957,15319.485920,0.00,1,False
34,05/09/2026 00:00:00,,00138,104,0001,07/29/2028 00:00:00,1009.173081,104954.000400,0.00,1,False
35,05/09/2026 00:00:00,,00307,44,0001,07/29/2028 00:00:00,3585.936268,157781.195800,0.00,1,False
36,05/09/2026 00:00:00,,00364,28,0001,07/29/2028 00:00:00,1175.748071,32920.946000,0.00,1,False
37,05/09/2026 00:00:00,,00016,5,0001,07/29/2028 00:00:00,583.598250,2917.991250,0.00,1,False
38,05/10/2026 00:00:00,,00184,190,0001,07/29/2028 00:00:00,291.672362,55417.748700,0.00,1,False
39,05/10/2026 00:00:00,,00205,120,0001,07/29/2028 00:00:00,541.933440,65032.012800,0.00,1,False
40,05/10/2026 00:00:00,,00040,10,0001,07/29/2028 00:00:00,627.780500,6277.805000,0.00,1,False
41,05/12/2026 00:00:00,,00194,48,0001,08/02/2028 00:00:00,714.100000,34276.800000,0.00,1,False
42,05/13/2026 00:00:00,,00016,200,0001,08/02/2028 00:00:00,596.452000,119290.400000,0.00,1,False
43,05/13/2026 00:00:00,,00231,100,0001,08/02/2028 00:00:00,522.000000,52200.000000,0.00,1,False
44,05/13/2026 00:00:00,,00212,49,0001,08/02/2028 00:00:00,1462.340750,71654.696750,0.00,1,False
45,05/13/2026 00:00:00,,00220,50,0001,08/02/2028 00:00:00,618.365250,30918.262500,0.00,1,False
46,05/13/2026 00:00:00,,00369,1344,0001,08/02/2028 00:00:00,302.679629,406801.421180,0.00,1,False
47,05/13/2026 00:00:00,,00032,180,0001,08/02/2028 00:00:00,256.244986,46124.097400,0.00,1,False
48,05/13/2026 00:00:00,,00010,2000,0001,08/02/2028 00:00:00,27.307872,54615.744270,0.00,1,False
49,05/13/2026 00:00:00,,00259,2400,0001,08/02/2028 00:00:00,24.248719,58196.926400,0.00,1,False
50,05/13/2026 00:00:00,,00030,750,0001,08/02/2028 00:00:00,33.403943,25052.957500,0.00,1,False
51,05/13/2026 00:00:00,,00257,1000,0001,08/02/2028 00:00:00,28.784592,28784.592070,0.00,1,False
52,05/13/2026 00:00:00,,00008,1077,0001,08/02/2028 00:00:00,34.207993,36842.008480,0.00,1,False
53,05/13/2026 00:00:00,,00233,2000,0001,08/02/2028 00:00:00,25.359835,50719.670400,0.00,1,False
54,05/13/2026 00:00:00,,00013,381,0001,08/02/2028 00:00:00,26.187348,9977.379700,0.00,1,False
55,05/13/2026 00:00:00,,00276,40,0001,08/02/2028 00:00:00,933.771850,37350.874000,0.00,1,False
56,05/13/2026 00:00:00,,00278,20,0001,08/02/2028 00:00:00,1409.976100,28199.522000,0.00,1,False
57,05/13/2026 00:00:00,,00281,32,0001,08/02/2028 00:00:00,1081.233761,34599.480360,0.00,1,False
58,05/13/2026 00:00:00,,00280,32,0001,08/02/2028 00:00:00,1845.289560,59049.265920,0.00,1,False
59,05/13/2026 00:00:00,,00274,100,0001,08/02/2028 00:00:00,2626.855210,262685.521000,0.00,1,False
60,05/13/2026 00:00:00,,00022,10,0001,08/02/2028 00:00:00,491.526500,4915.265000,0.00,1,False
61,05/14/2026 00:00:00,,00051,24,0001,08/03/2028 00:00:00,1138.751577,27330.037840,0.00,1,False
62,05/14/2026 00:00:00,,00226,24,0001,08/03/2028 00:00:00,608.100617,14594.414800,0.00,1,False
63,05/14/2026 00:00:00,,00260,16,0001,08/03/2028 00:00:00,894.023363,14304.373800,0.00,1,False
64,05/14/2026 00:00:00,,00330,32,0001,08/03/2028 00:00:00,993.034410,31777.101120,0.00,1,False
65,05/14/2026 00:00:00,,00220,40,0001,08/03/2028 00:00:00,616.536500,24661.460000,0.00,1,False
66,05/14/2026 00:00:00,,00022,20,0001,08/03/2028 00:00:00,491.526500,9830.530000,0.00,1,False
67,05/14/2026 00:00:00,,00028,100,0001,08/03/2028 00:00:00,1651.016250,165101.625000,0.00,1,False
68,05/14/2026 00:00:00,,00318,240,0001,08/03/2028 00:00:00,266.703650,64008.876000,0.00,1,False
69,05/14/2026 00:00:00,,00265,960,0001,08/03/2028 00:00:00,59.162662,56796.155400,0.00,1,False
70,05/14/2026 00:00:00,,00008,400,0001,08/03/2028 00:00:00,34.795693,13918.277180,0.00,1,False
71,05/16/2026 00:00:00,,00292,80,0001,08/03/2028 00:00:00,1029.421611,82353.728880,0.00,1,False
72,05/16/2026 00:00:00,,00370,120,0001,08/03/2028 00:00:00,164.042680,19685.121600,0.00,1,False
73,05/16/2026 00:00:00,,00086,240,0001,08/04/2028 00:00:00,428.254140,102780.993600,0.00,1,False
74,05/16/2026 00:00:00,,00369,672,0001,08/04/2028 00:00:00,206.001315,138432.884000,0.00,1,False
75,05/16/2026 00:00:00,,00233,200,0001,08/04/2028 00:00:00,24.301500,4860.299940,0.00,1,False
76,05/16/2026 00:00:00,,00050,24,0001,08/04/2028 00:00:00,396.735730,9521.657520,0.00,1,False
77,05/16/2026 00:00:00,,00259,1440,0001,08/04/2028 00:00:00,23.958488,34500.222940,0.00,1,False
78,05/16/2026 00:00:00,,00020,100,0001,08/04/2028 00:00:00,54.261060,5426.106000,0.00,1,False
79,05/16/2026 00:00:00,,00016,50,0001,08/04/2028 00:00:00,534.513750,26725.687500,0.00,1,False
80,05/16/2026 00:00:00,,00258,10,0001,08/04/2028 00:00:00,416.841500,4168.415000,0.00,1,False
81,05/16/2026 00:00:00,,00030,250,0001,08/04/2028 00:00:00,31.369994,7842.498500,0.00,1,False
82,05/16/2026 00:00:00,,00010,200,0001,08/04/2028 00:00:00,28.107877,5621.575440,0.00,1,False
83,05/16/2026 00:00:00,,00032,60,0001,08/04/2028 00:00:00,136.413245,8184.794700,0.00,1,False
84,05/18/2026 00:00:00,,00220,10,0001,08/04/2028 00:00:00,544.741250,5447.412500,0.00,1,False
85,05/18/2026 00:00:00,,00243,20,0001,08/04/2028 00:00:00,519.013750,10380.275000,0.00,1,False
86,05/19/2026 00:00:00,,00259,1144,0001,08/06/2028 00:00:00,24.363520,27871.866420,0.00,1,False
87,05/19/2026 00:00:00,,00315,100,0001,08/06/2028 00:00:00,734.024000,73402.400000,0.00,1,False
88,05/19/2026 00:00:00,,00138,80,0001,08/06/2028 00:00:00,821.244241,65699.539300,0.00,1,False
89,05/19/2026 00:00:00,,00189,56,0001,08/06/2028 00:00:00,1183.558607,66279.282000,0.00,1,False
90,05/19/2026 00:00:00,,00208,360,0001,08/06/2028 00:00:00,275.234690,99084.488400,0.00,1,False
91,05/19/2026 00:00:00,,00285,150,0001,08/06/2028 00:00:00,247.232997,37084.949500,0.00,1,False
92,05/19/2026 00:00:00,,00273,20,0001,08/06/2028 00:00:00,1021.526500,20430.530000,0.00,1,False
93,05/19/2026 00:00:00,,00371,20,0001,08/06/2028 00:00:00,1928.841050,38576.821000,0.00,1,False
94,05/19/2026 00:00:00,,00231,2,0001,08/06/2028 00:00:00,505.000000,1010.000000,0.00,1,False
95,05/19/2026 00:00:00,,00040,2,0001,08/06/2028 00:00:00,744.026500,1488.053000,0.00,1,False
96,05/19/2026 00:00:00,,00177,92,0001,08/06/2028 00:00:00,814.285560,74914.271500,0.00,1,False
97,05/19/2026 00:00:00,,00136,44,0001,08/06/2028 00:00:00,840.594923,36986.176600,0.00,1,False
98,05/19/2026 00:00:00,,00144,84,0001,08/06/2028 00:00:00,977.627688,82120.725800,0.00,1,False
99,05/19/2026 00:00:00,,00129,44,0001,08/06/2028 00:00:00,1051.943750,46285.525000,0.00,1,False
100,05/19/2026 00:00:00,,00135,128,0001,08/06/2028 00:00:00,2080.888560,266353.735700,0.00,1,False
101,05/19/2026 00:00:00,,00130,4,0001,08/06/2028 00:00:00,1168.051100,4672.204400,0.00,1,False
102,05/20/2026 00:00:00,,00130,116,0001,08/12/2028 00:00:00,1303.754014,151235.465600,0.00,1,False
103,05/20/2026 00:00:00,,00132,59,0001,08/12/2028 00:00:00,901.515043,53189.387550,0.00,1,False
104,05/20/2026 00:00:00,,00145,164,0001,08/12/2028 00:00:00,1156.148392,189608.336350,0.00,1,False
105,05/20/2026 00:00:00,,00133,60,0001,08/12/2028 00:00:00,1869.744996,112184.699750,0.00,1,False
106,05/20/2026 00:00:00,,00349,80,0001,08/12/2028 00:00:00,1094.714563,87577.165000,0.00,1,False
107,05/20/2026 00:00:00,,00131,160,0001,08/12/2028 00:00:00,1079.049969,172647.995000,0.00,1,False
108,05/20/2026 00:00:00,,00260,92,0001,08/12/2028 00:00:00,786.919499,72396.593950,0.00,1,False
109,05/20/2026 00:00:00,,00314,40,0001,08/12/2028 00:00:00,1224.577763,48983.110500,0.00,1,False
110,05/21/2026 00:00:00,,00170,16,0001,08/12/2028 00:00:00,885.656968,14170.511480,0.00,1,False
111,05/21/2026 00:00:00,,00266,12,0001,08/12/2028 00:00:00,807.093118,9685.117410,0.00,1,False
112,05/21/2026 00:00:00,,00049,12,0001,08/12/2028 00:00:00,1356.787668,16281.452010,0.00,1,False
113,05/21/2026 00:00:00,,00180,32,0001,08/12/2028 00:00:00,983.680768,31477.784560,0.00,1,False
114,05/21/2026 00:00:00,,00295,36,0001,08/12/2028 00:00:00,1054.167779,37950.040030,0.00,1,False
115,05/21/2026 00:00:00,,00047,100,0001,08/12/2028 00:00:00,2254.564368,225456.436750,0.00,1,False
116,05/21/2026 00:00:00,,00296,11,0001,08/12/2028 00:00:00,644.253773,7086.791500,0.00,1,False
117,05/23/2026 00:00:00,,00019,200,0001,08/12/2028 00:00:00,373.250000,74650.000000,0.00,1,False
118,05/23/2026 00:00:00,,00156,200,0001,08/12/2028 00:00:00,290.375000,58075.000000,0.00,1,False
119,05/23/2026 00:00:00,,00231,70,0001,08/12/2028 00:00:00,517.142750,36199.992500,0.00,1,False
120,05/23/2026 00:00:00,,00125,22,0001,08/30/2028 00:00:00,652.667000,14358.674000,0.00,1,False
121,05/23/2026 00:00:00,,00258,5,0001,08/12/2028 00:00:00,508.167000,2540.835000,0.00,1,False
122,05/23/2026 00:00:00,,00228,24,0001,08/12/2028 00:00:00,2466.787000,59202.888000,0.00,1,False
123,05/24/2026 00:00:00,,00184,156,0001,08/12/2028 00:00:00,316.044656,49302.966280,0.00,1,False
124,05/24/2026 00:00:00,,00053,200,0001,08/12/2028 00:00:00,748.737787,149747.557480,0.00,1,False
125,05/24/2026 00:00:00,,00129,6,0001,08/12/2028 00:00:00,1062.950470,6377.702820,0.00,1,False
126,05/24/2026 00:00:00,,00307,44,0001,08/12/2028 00:00:00,3331.858246,146601.762840,0.00,1,False
127,05/24/2026 00:00:00,,00147,130,0001,08/12/2028 00:00:00,2903.970500,377516.165000,0.00,1,False
128,05/24/2026 00:00:00,,00344,54,0001,08/12/2028 00:00:00,3053.339000,164880.306000,0.00,1,False
129,05/24/2026 00:00:00,,00139,10,0001,08/12/2028 00:00:00,659.526500,6595.265000,0.00,1,False
130,05/25/2026 00:00:00,,00281,52,0001,08/12/2028 00:00:00,1034.187083,53777.728340,0.00,1,False
131,05/25/2026 00:00:00,,00276,52,0001,08/12/2028 00:00:00,811.622433,42204.366540,0.00,1,False
132,05/25/2026 00:00:00,,00372,20,0001,08/12/2028 00:00:00,646.134338,12922.686750,0.00,1,False
133,05/25/2026 00:00:00,,00373,5,0001,08/12/2028 00:00:00,4341.959000,21709.795000,0.00,1,False
134,05/30/2026 00:00:00,,00285,150,0001,08/17/2028 00:00:00,255.497953,38324.693000,0.00,1,False
135,05/30/2026 00:00:00,,00286,60,0001,08/17/2028 00:00:00,625.635254,37538.115250,0.00,1,False
136,06/02/2026 00:00:00,,00233,200,0001,08/23/2028 00:00:00,24.887542,4977.508340,0.00,1,False
137,06/02/2026 00:00:00,,00032,60,0001,08/23/2028 00:00:00,142.130757,8527.845400,0.00,1,False
138,06/02/2026 00:00:00,,00022,100,0001,08/23/2028 00:00:00,492.084500,49208.450000,0.00,1,False
139,06/03/2026 00:00:00,,00019,50,0001,08/23/2028 00:00:00,379.000000,18950.000000,0.00,1,False
140,06/03/2026 00:00:00,,00040,2,0001,08/23/2028 00:00:00,772.975000,1545.950000,0.00,1,False
141,06/04/2026 00:00:00,,00376,24,0001,08/23/2028 00:00:00,1148.121581,27554.917940,0.00,1,False
142,06/04/2026 00:00:00,,00197,20,0001,08/23/2028 00:00:00,1199.998097,23999.961940,0.00,1,False
143,06/04/2026 00:00:00,,00291,28,0001,08/23/2028 00:00:00,1128.883562,31608.739730,0.00,1,False
144,06/04/2026 00:00:00,,00228,20,0001,08/23/2028 00:00:00,1840.967500,36819.350000,0.00,1,False
145,06/04/2026 00:00:00,,00296,25,0001,08/23/2028 00:00:00,666.694000,16667.350000,0.00,1,False
146,06/05/2026 00:00:00,,00156,400,0001,08/23/2028 00:00:00,390.375000,156150.000000,0.00,1,False
147,06/06/2026 00:00:00,,00231,100,0001,08/24/2028 00:00:00,513.500000,51350.000000,0.00,1,False
148,06/06/2026 00:00:00,,00220,150,0001,08/24/2028 00:00:00,848.354043,127253.106400,0.00,1,False
149,06/07/2026 00:00:00,,00285,225,0001,09/04/2028 00:00:00,242.726033,54613.357500,0.00,1,False
150,06/07/2026 00:00:00,,00274,52,0001,09/04/2028 00:00:00,2291.206016,119142.712850,0.00,1,False
151,06/07/2026 00:00:00,,00280,48,0001,09/04/2028 00:00:00,2041.849714,98008.786280,0.00,1,False
152,06/07/2026 00:00:00,,00281,44,0001,09/04/2028 00:00:00,1114.826229,49052.354090,0.00,1,False
153,06/07/2026 00:00:00,,00278,20,0001,09/04/2028 00:00:00,1477.884098,29557.681950,0.00,1,False
154,06/07/2026 00:00:00,,00289,10,0001,09/04/2028 00:00:00,2330.412500,23304.125000,0.00,1,False
