ProductionID,ProductionDate,Remarks,ProductID,Quantity,BatchNo,ExpiryDate,Cost,TTLValue,Expense,UserNo,IsPosted
1,05/02/2026 00:00:00,,03192,200,0001,07/23/2028 00:00:00,146.250000,29250.000000,0.00,1,False
2,05/02/2026 00:00:00,,03174,110,0001,07/23/2028 00:00:00,13.860000,1524.600000,0.00,1,False
3,05/03/2026 00:00:00,,03260,120,0001,07/23/2028 00:00:00,133.330000,15999.600000,0.00,1,False
4,05/03/2026 00:00:00,,03254,60,0001,07/23/2028 00:00:00,173.430000,10405.800000,0.00,1,False
5,05/03/2026 00:00:00,,03263,100,0001,07/23/2028 00:00:00,78.380000,7838.000000,0.00,1,False
6,05/03/2026 00:00:00,,03258,60,0001,07/23/2028 00:00:00,66.030000,3961.800000,0.00,1,False
7,05/03/2026 00:00:00,,03256,60,0001,07/23/2028 00:00:00,78.280000,4696.800000,0.00,1,False
8,05/03/2026 00:00:00,,03261,250,0001,07/23/2028 00:00:00,109.490000,27372.500000,0.00,1,False
9,05/03/2026 00:00:00,,03262,250,0001,07/23/2028 00:00:00,19.461540,4865.385000,0.00,1,False
10,05/03/2026 00:00:00,,03010,12,0001,07/23/2028 00:00:00,128.590000,1543.080000,0.00,1,False
11,05/03/2026 00:00:00,,03014,100,0001,07/23/2028 00:00:00,15.461540,1546.154000,0.00,1,False
12,05/03/2026 00:00:00,,03163,3750,0001,07/23/2028 00:00:00,15.133333,56750.000000,0.00,1,False
13,05/03/2026 00:00:00,,03001,900,0001,07/23/2028 00:00:00,14.410000,12969.000000,0.00,1,False
14,05/04/2026 00:00:00,,03046,250,0001,07/23/2028 00:00:00,16.773112,4193.278050,0.00,1,False
15,05/05/2026 00:00:00,,03190,260,0001,07/23/2028 00:00:00,475.318461,123582.799985,0.00,1,False
16,05/05/2026 00:00:00,,03097,500,0001,07/23/2028 00:00:00,105.170000,52585.000000,0.00,1,False
17,05/05/2026 00:00:00,,03135,12,0001,07/23/2028 00:00:00,224.300000,2691.600000,0.00,1,False
18,05/05/2026 00:00:00,,03027,12,0001,07/23/2028 00:00:00,231.130000,2773.560000,0.00,1,False
19,05/05/2026 00:00:00,,03034,12,0001,07/23/2028 00:00:00,95.530000,1146.360000,0.00,1,False
20,05/05/2026 00:00:00,,03026,32,0001,07/23/2028 00:00:00,111.860000,3579.520000,0.00,1,False
21,05/05/2026 00:00:00,,03009,40,0001,07/23/2028 00:00:00,126.035000,5041.400000,0.00,1,False
22,05/05/2026 00:00:00,,03107,40,0001,07/23/2028 00:00:00,122.180000,4887.200000,0.00,1,False
23,05/05/2026 00:00:00,,03163,1250,0001,07/23/2028 00:00:00,10.000000,12500.000000,0.00,1,False
24,05/05/2026 00:00:00,,03011,40,0001,07/23/2028 00:00:00,121.850000,4874.000000,0.00,1,False
25,05/05/2026 00:00:00,,03055,5000,0001,07/23/2028 00:00:00,17.657444,88287.222000,0.00,1,False
26,05/05/2026 00:00:00,,03021,1000,0001,07/23/2028 00:00:00,50.030500,50030.500000,0.00,1,False
27,05/06/2026 00:00:00,,03011,140,0001,07/24/2028 00:00:00,83.097321,11633.625000,0.00,1,False
28,05/06/2026 00:00:00,,03104,250,0001,07/24/2028 00:00:00,142.540000,35635.000000,0.00,1,False
29,05/06/2026 00:00:00,,03162,600,0001,07/24/2028 00:00:00,61.306667,36784.000000,0.00,1,False
30,05/07/2026 00:00:00,,03028,240,0001,07/29/2028 00:00:00,364.296667,87431.199992,0.00,1,False
31,05/07/2026 00:00:00,,03094,200,0001,07/29/2028 00:00:00,333.475000,66695.000000,0.00,1,False
32,05/07/2026 00:00:00,,03096,48,0001,07/29/2028 00:00:00,84.900000,4075.200000,0.00,1,False
33,05/09/2026 00:00:00,,03054,520,0001,07/29/2028 00:00:00,96.580769,50222.000000,0.00,1,False
34,05/09/2026 00:00:00,,03215,220,0001,07/29/2028 00:00:00,627.550887,138061.195050,0.00,1,False
35,05/09/2026 00:00:00,,03260,140,0001,07/29/2028 00:00:00,132.063902,18488.946308,0.00,1,False
36,05/09/2026 00:00:00,,03001,125,0001,07/29/2028 00:00:00,17.143929,2142.991070,0.00,1,False
37,05/10/2026 00:00:00,,03025,190,0001,07/29/2028 00:00:00,36.280435,6893.282623,0.00,1,False
38,05/10/2026 00:00:00,,03093,120,0001,07/29/2028 00:00:00,279.969149,33596.297848,0.00,1,False
39,05/10/2026 00:00:00,,03019,250,0001,07/29/2028 00:00:00,17.311220,4327.805000,0.00,1,False
40,05/12/2026 00:00:00,,03075,240,0001,08/02/2028 00:00:00,44.170000,10600.800000,0.00,1,False
41,05/13/2026 00:00:00,,03001,5000,0001,08/02/2028 00:00:00,17.348081,86740.403750,0.00,1,False
42,05/13/2026 00:00:00,,03163,2500,0001,08/02/2028 00:00:00,17.680000,44200.000000,0.00,1,False
43,05/13/2026 00:00:00,,03151,1225,0001,08/02/2028 00:00:00,52.293628,64059.694607,0.00,1,False
44,05/13/2026 00:00:00,,03046,1250,0001,08/02/2028 00:00:00,16.734611,20918.263250,0.00,1,False
45,05/13/2026 00:00:00,,03264,161,0001,08/02/2028 00:00:00,439.760375,70801.420453,0.00,1,False
46,05/13/2026 00:00:00,,03003,380,0001,08/02/2028 00:00:00,33.290278,12650.305659,0.00,1,False
47,05/13/2026 00:00:00,,03010,80,0001,08/02/2028 00:00:00,125.586584,10046.926695,0.00,1,False
48,05/13/2026 00:00:00,,03118,75,0001,08/02/2028 00:00:00,144.306102,10822.957680,0.00,1,False
49,05/13/2026 00:00:00,,03179,100,0001,08/02/2028 00:00:00,49.307528,4930.752805,0.00,1,False
50,05/13/2026 00:00:00,,03018,108,0001,08/02/2028 00:00:00,103.768875,11207.038525,0.00,1,False
51,05/13/2026 00:00:00,,03165,200,0001,08/02/2028 00:00:00,11.809857,2361.971382,0.00,1,False
52,05/13/2026 00:00:00,,03012,38,0001,08/02/2028 00:00:00,116.773149,4437.379651,0.00,1,False
53,05/13/2026 00:00:00,,03191,200,0001,08/02/2028 00:00:00,73.004366,14600.873141,0.00,1,False
54,05/13/2026 00:00:00,,03192,100,0001,08/02/2028 00:00:00,168.245219,16824.521852,0.00,1,False
55,05/13/2026 00:00:00,,03194,160,0001,08/02/2028 00:00:00,93.750051,15000.008202,0.00,1,False
56,05/13/2026 00:00:00,,03193,160,0001,08/02/2028 00:00:00,247.915011,39666.401717,0.00,1,False
57,05/13/2026 00:00:00,,03190,500,0001,08/02/2028 00:00:00,410.240643,205120.321478,0.00,1,False
58,05/13/2026 00:00:00,,03014,250,0001,08/02/2028 00:00:00,13.461060,3365.265000,0.00,1,False
59,05/14/2026 00:00:00,,03010,120,0001,08/03/2028 00:00:00,125.586584,15070.390042,0.00,1,False
60,05/14/2026 00:00:00,,03028,24,0001,08/03/2028 00:00:00,390.284802,9366.835243,0.00,1,False
61,05/14/2026 00:00:00,,03183,80,0001,08/03/2028 00:00:00,67.266673,5381.333867,0.00,1,False
62,05/14/2026 00:00:00,,03236,160,0001,08/03/2028 00:00:00,93.776475,15004.235944,0.00,1,False
63,05/14/2026 00:00:00,,03046,1000,0001,08/03/2028 00:00:00,16.661458,16661.457600,0.00,1,False
64,05/14/2026 00:00:00,,03014,500,0001,08/03/2028 00:00:00,13.461060,6730.530000,0.00,1,False
65,05/14/2026 00:00:00,,03021,2500,0001,08/03/2028 00:00:00,66.040652,165101.630475,0.00,1,False
66,05/14/2026 00:00:00,,03224,240,0001,08/03/2028 00:00:00,64.304498,15433.079518,0.00,1,False
67,05/14/2026 00:00:00,,03182,960,0001,08/03/2028 00:00:00,17.759155,17048.788882,0.00,1,False
68,05/14/2026 00:00:00,,03018,40,0001,08/03/2028 00:00:00,90.326330,3613.053208,0.00,1,False
69,05/16/2026 00:00:00,,03202,400,0001,08/03/2028 00:00:00,104.770877,41908.350838,0.00,1,False
