ProductId,CompanyId,GroupId,ProductName,Packing,PurchasePrice,PurchaseDiscRatio,PurchaseSTValue,PurchaseSTRatio,TradePrice,SaleDiscRatio,SaleDiscRatioRetail,SaleSTValue,SaleSTRatio,RetailPrice,MinStockLevel,OrderStockLevel,PurBonusBase,PurBonusQty,SalBonusBase,SalBonusQty,IsSaleOnTp,RetailPriceLoose,TradePrice2,TradePrice3,RPTOTPDisc,IsBonusItem,Carton,IsActive,IsInput,IsOutput,IsConsumable
00008,00,,Scour Guard100ML,100ML,0.00,0.00,0.00,0.00,100.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00010,00,,Calci-Phos-D100ML,100ML,0.00,0.00,0.00,0.00,120.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00013,00,,Kirzan BOP 100ml,100ml,0.00,0.00,0.00,0.00,80.0000,0.00,0.00,0.00,0.00,0.0000,0,100,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00014,00,,Growth Promoter 1kg,1kg,0.00,0.00,0.00,0.00,250.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00016,00,,Growth Promoter 25kg,25kg,0.00,0.00,0.00,0.00,4000.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00017,00,,DCP BOP 1kg,1kg,0.00,0.00,0.00,0.00,120.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00019,00,,DCP BOP 25kg,25kg,0.00,0.00,0.00,0.00,1800.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00020,00,,Magnet BOP 1kg,1kg,0.00,0.00,0.00,0.00,180.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00022,00,,Magnet BOP 25kg,25kg,0.00,0.00,0.00,0.00,3500.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00023,00,,Hepatic-Optimizer 100ml,100ml,0.00,0.00,0.00,0.00,200.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00024,00,,Hepatic-Optimizer 1 Lit,1 Lit,3000.00,0.00,0.00,0.00,3000.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00025,00,,Calcivit-D 25kg,25kg,0.00,0.00,0.00,0.00,4500.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00026,00,,Vital Gold 1kg,1kg,0.00,0.00,0.00,0.00,430.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00027,00,,Vital Gold 5kg,5kg,0.00,0.00,0.00,0.00,1800.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00028,00,,Vital Gold 25kg,25kg,0.00,0.00,0.00,0.00,7500.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00029,00,,Saline Electry 300gm,300gm,0.00,0.00,0.00,0.00,90.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00030,00,,Coolper 100gm,100gm,0.00,0.00,0.00,0.00,100.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00031,00,,Coolper 1kg,1kg,0.00,0.00,0.00,0.00,800.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00032,00,,Calci-Phos-D 1000ml,1 lit,0.00,0.00,0.00,0.00,1800.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00033,00,,Kirzan BOP 1000ML,1 Lit,0.00,0.00,0.00,0.00,550.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00034,00,,Micro-Cut spray 120ml,120ml,0.00,0.00,0.00,0.00,350.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00035,00,,Bio-Fat 25kg,25kg,0.00,0.00,0.00,0.00,10000.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00036,00,,Paower 1kg,1kg,0.00,0.00,0.00,0.00,200.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00037,00,,paower Plus 25kg,25kg,0.00,0.00,0.00,0.00,4000.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00038,00,,Hepatic-Optimizer Powder 25kg,25kg,0.00,0.00,0.00,0.00,10000.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00039,00,,Super Yeast 1kg,1kg,0.00,0.00,0.00,0.00,600.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
00040,00,,Super Yeast Powder 25kg,25kg,0.00,0.00,0.00,0.00,12000.0000,0.00,0.00,0.00,0.00,0.0000,0,0,0,0,0,0,True,0.0000,0.0000,0.0000,0.0000,False,0,True,False,True,False
