PurchaseId,LastUpdateDate,EntryDate,BillNo,BillDate,OrderID,PreviousCredit,Expenses,PaidAmount,VendorId,TimeKey,IsPosted,IsLocal,UserNo,Remarks
1,05/06/2026 03:07:00,05/02/2026 00:00:00,,05/02/2026 00:00:00,,0.00,0.00,0.00,610005,0 0 0 0 0 0 94 39,False,False,1,
2,05/13/2026 00:38:00,05/02/2026 00:00:00,,05/02/2026 00:00:00,,0.00,0.00,0.00,610004,0 0 0 0 0 0 125 139,False,False,1,
3,05/06/2026 06:00:00,05/03/2026 00:00:00,,05/03/2026 00:00:00,,0.00,0.00,0.00,610004,0 0 0 0 0 0 94 60,False,False,1,
4,05/06/2026 06:00:00,05/03/2026 00:00:00,,05/03/2026 00:00:00,,0.00,0.00,0.00,610019,0 0 0 0 0 0 94 62,False,False,1,Ayyoub
5,05/06/2026 06:02:00,05/03/2026 00:00:00,,05/03/2026 00:00:00,,0.00,0.00,0.00,610022,0 0 0 0 0 0 94 64,False,False,1,Khalid
6,05/06/2026 06:04:00,05/03/2026 00:00:00,,05/03/2026 00:00:00,,0.00,0.00,0.00,610018,0 0 0 0 0 0 94 66,False,False,1,
7,05/07/2026 02:55:00,05/04/2026 00:00:00,,05/04/2026 00:00:00,,0.00,0.00,0.00,610018,0 0 0 0 0 0 109 241,False,False,1,
8,05/06/2026 06:49:00,05/04/2026 00:00:00,,05/04/2026 00:00:00,,0.00,0.00,0.00,610022,0 0 0 0 0 0 94 70,False,False,1,Khalid
9,05/06/2026 07:00:00,05/05/2026 00:00:00,,05/05/2026 00:00:00,,0.00,0.00,0.00,610014,0 0 0 0 0 0 94 74,False,False,1,
10,05/06/2026 07:01:00,05/05/2026 00:00:00,,05/05/2026 00:00:00,,0.00,0.00,0.00,610018,0 0 0 0 0 0 94 76,False,False,1,
11,05/06/2026 07:49:00,05/05/2026 00:00:00,,05/05/2026 00:00:00,,0.00,0.00,0.00,610004,0 0 0 0 0 0 94 83,False,False,1,
12,05/07/2026 00:16:00,05/06/2026 00:00:00,,05/06/2026 00:00:00,,0.00,0.00,0.00,610004,0 0 0 0 0 0 109 199,False,False,1,
13,06/02/2026 06:16:00,05/06/2026 00:00:00,,05/06/2026 00:00:00,,0.00,0.00,0.00,610014,0 0 0 0 0 0 187 230,False,False,1,
14,05/07/2026 00:20:00,05/07/2026 00:00:00,,05/06/2026 00:00:00,,0.00,0.00,0.00,610010,0 0 0 0 0 0 109 203,False,False,1,
15,05/12/2026 22:33:00,05/07/2026 00:00:00,,05/07/2026 00:00:00,,0.00,0.00,0.00,610014,0 0 0 0 0 0 125 104,False,False,1,
