SerialNo,SReturnId,ProductId,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted
8,1,00137,2.000000000,0,6000.0000,0.00,0.00,0.00,0.00,12000.00,0.00,False
6,1,00150,5.000000000,0,3000.0000,0.00,0.00,0.00,0.00,15000.00,0.00,False
5,1,00154,3873.000000000,0,60.0000,0.00,0.00,0.00,0.00,232380.00,0.00,False
4,1,00156,2.000000000,0,1500.0000,0.00,0.00,0.00,0.00,3000.00,0.00,False
9,1,00159,2.000000000,0,130.0000,0.00,0.00,0.00,0.00,260.00,0.00,False
2,1,00160,10.000000000,0,4500.0000,0.00,0.00,0.00,0.00,45000.00,0.00,False
3,1,00161,45.000000000,0,210.0000,0.00,0.00,0.00,0.00,9450.00,0.00,False
7,1,00245,1.000000000,0,7500.0000,0.00,0.00,0.00,0.00,7500.00,0.00,False
10,2,00048,20.000000000,0,1500.0000,0.00,0.00,0.00,0.00,30000.00,0.00,False
11,2,00137,1.000000000,0,6000.0000,0.00,0.00,0.00,0.00,6000.00,0.00,False
12,3,00040,185.000000000,0,9000.0000,0.00,0.00,0.00,0.00,1665000.00,0.00,False
15,4,00399,24.000000000,0,1560.0000,0.00,0.00,0.00,0.00,37440.00,0.00,False
13,4,00400,24.000000000,0,1200.0000,0.00,0.00,0.00,0.00,28800.00,0.00,False
14,4,00401,24.000000000,0,1675.0000,0.00,0.00,0.00,0.00,40200.00,0.00,False
17,4,00402,24.000000000,0,980.0000,0.00,0.00,0.00,0.00,23520.00,0.00,False
18,4,00403,24.000000000,0,1800.0000,0.00,0.00,0.00,0.00,43200.00,0.00,False
16,4,00404,24.000000000,0,800.0000,0.00,0.00,0.00,0.00,19200.00,0.00,False
