SaleId,SaleType,ExternalId,SalesManId,CustomerId,LastUpdateDate,SaleDate,IsCashInvoice,IsWarranted,PreviousDebit,IsAutoBatch,ReceivedAmount,SpecialDiscount,DueDate,IsPrinted,Remarks,TimeKey,IsPosted,SSInvNo,IsInvoiceClaimable,UserNo,PrintingCharges,DefCustomerName,OrderID,OrderDate,IsAvailability,BookingID
1,C,1,,620007,05/07/2026 00:41:00,05/02/2026 00:00:00,False,True,377355.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 205,False,,False,1,0.00,,,,False,
2,C,2,,620096,05/07/2026 00:41:00,05/02/2026 00:00:00,False,True,1750100.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 206,False,,False,1,0.00,,,,False,
3,C,3,,620109,05/07/2026 00:45:00,05/03/2026 00:00:00,False,True,-680080.00,True,0.00,0.00,,False,Issue to Muzafergarh,0 0 0 0 0 0 109 207,False,,False,1,0.00,,,,False,
4,C,4,,620083,05/07/2026 00:45:00,05/03/2026 00:00:00,False,True,-12600.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 208,False,,False,1,0.00,,,,False,
5,C,5,,620008,05/07/2026 00:47:00,05/03/2026 00:00:00,False,True,9879731.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 210,False,,False,1,0.00,,,,False,
6,C,6,,620031,05/07/2026 00:48:00,05/03/2026 00:00:00,False,True,7000.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 211,False,,False,1,0.00,,,,False,
7,C,7,,620103,05/07/2026 00:55:00,05/04/2026 00:00:00,False,True,0.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 219,False,,False,1,0.00,,,,False,
8,C,8,,620049,05/07/2026 00:56:00,05/05/2026 00:00:00,False,True,-160922.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 220,False,,False,1,0.00,,,,False,
9,C,9,,620096,05/07/2026 00:58:00,05/05/2026 00:00:00,False,True,2150100.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 221,False,,False,1,0.00,,,,False,
10,C,10,,620027,05/07/2026 00:58:00,05/05/2026 00:00:00,False,True,554142.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 222,False,,False,1,0.00,,,,False,
11,C,11,,620061,05/07/2026 01:00:00,05/05/2026 00:00:00,False,True,0.00,True,0.00,0.00,,False,Issue to Naeem Peshawer,0 0 0 0 0 0 109 223,False,,False,1,0.00,,,,False,
12,C,12,,620091,05/07/2026 01:07:00,05/05/2026 00:00:00,False,True,4451032.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 224,False,,False,1,0.00,,,,False,
13,C,13,,620091,05/07/2026 01:12:00,05/06/2026 00:00:00,False,True,4976728.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 225,False,,False,1,0.00,,,,False,
14,C,14,,620020,05/07/2026 01:12:00,05/06/2026 00:00:00,False,True,-4215800.00,True,0.00,0.00,,False,,0 0 0 0 0 0 109 226,False,,False,1,0.00,,,,False,
15,C,15,,620060,05/13/2026 00:06:00,05/06/2026 00:00:00,False,True,0.00,True,0.00,0.00,,False,,0 0 0 0 0 0 125 127,False,,False,1,0.00,,,,False,
16,C,16,,620060,05/13/2026 00:07:00,05/07/2026 00:00:00,False,True,140800.00,True,0.00,0.00,,False,,0 0 0 0 0 0 125 131,False,,False,1,0.00,,,,False,
17,C,17,,620060,05/13/2026 00:10:00,05/09/2026 00:00:00,False,True,1015872.00,True,0.00,0.00,,False,,0 0 0 0 0 0 125 132,False,,False,1,0.00,,,,False,
18,C,18,,620109,05/13/2026 00:11:00,05/09/2026 00:00:00,False,True,-180880.00,True,0.00,0.00,,False,,0 0 0 0 0 0 125 133,False,,False,1,0.00,,,,False,
19,C,19,,620091,05/13/2026 00:12:00,05/09/2026 00:00:00,False,True,5178328.00,True,0.00,0.00,,False,,0 0 0 0 0 0 125 134,False,,False,1,0.00,,,,False,
20,C,20,,620060,05/13/2026 00:13:00,05/10/2026 00:00:00,False,True,2387712.00,True,0.00,0.00,,False,,0 0 0 0 0 0 125 135,False,,False,1,0.00,,,,False,
21,C,21,,620041,05/13/2026 00:14:00,05/10/2026 00:00:00,False,True,3753114.00,True,0.00,0.00,,False,,0 0 0 0 0 0 125 136,False,,False,1,0.00,,,,False,
22,C,22,,620015,05/13/2026 00:15:00,05/11/2026 00:00:00,False,True,3247965.00,True,0.00,0.00,,False,,0 0 0 0 0 0 125 137,False,,False,1,0.00,,,,False,
23,C,23,,620020,05/26/2026 04:25:00,05/12/2026 00:00:00,False,True,-4519000.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 105,False,,False,1,0.00,,,,False,
24,C,24,,620096,05/26/2026 04:27:00,05/13/2026 00:00:00,False,True,1110100.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 106,False,,False,1,0.00,,,,False,
25,C,25,,620007,05/26/2026 04:27:00,05/13/2026 00:00:00,False,True,398855.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 107,False,,False,1,0.00,,,,False,
26,C,26,,620045,05/26/2026 04:31:00,05/13/2026 00:00:00,False,True,-2317547.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 108,False,,False,1,0.00,,,,False,
27,C,27,,620042,05/26/2026 04:32:00,05/13/2026 00:00:00,False,False,-568635.00,True,0.00,0.00,,False,Issue to Gumbhatt,0 0 0 0 0 0 172 109,False,,False,1,0.00,,,,False,
28,C,28,,620012,05/26/2026 04:33:00,05/13/2026 00:00:00,False,True,-492106.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 110,False,,False,1,0.00,,,,False,
29,C,29,,620015,05/26/2026 04:33:00,05/13/2026 00:00:00,False,True,3129965.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 111,False,,False,1,0.00,,,,False,
30,C,30,,620010,05/26/2026 04:34:00,05/13/2026 00:00:00,False,True,2441716.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 112,False,,False,1,0.00,,,,False,
31,C,31,,620060,05/26/2026 04:36:00,05/14/2026 00:00:00,False,True,41777297.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 113,False,,False,1,0.00,,,,False,
32,C,32,,620008,05/26/2026 04:37:00,05/14/2026 00:00:00,False,True,9782275.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 114,False,,False,1,0.00,,,,False,
33,C,33,,620049,05/26/2026 04:38:00,05/14/2026 00:00:00,False,True,-690422.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 115,False,,False,1,0.00,,,,False,
34,C,34,,620104,05/26/2026 04:39:00,05/14/2026 00:00:00,False,True,-156000.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 116,False,,False,1,0.00,,,,False,
35,C,35,,620046,05/26/2026 04:41:00,05/14/2026 00:00:00,False,True,-396509.00,True,0.00,0.00,,False,Peshawer+Surainurang Half Half Stock,0 0 0 0 0 0 172 117,False,,False,1,0.00,,,,False,
36,C,36,,620046,05/26/2026 04:42:00,05/16/2026 00:00:00,False,True,-135309.00,True,0.00,0.00,,False,Half Half Stock Peshawer+Nurang,0 0 0 0 0 0 172 118,False,,False,1,0.00,,,,False,
37,C,37,,620060,05/26/2026 04:43:00,05/17/2026 00:00:00,False,True,42755153.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 119,False,,False,1,0.00,,,,False,
38,C,38,,620049,05/26/2026 04:43:00,05/17/2026 00:00:00,False,True,-327922.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 120,False,,False,1,0.00,,,,False,
39,C,39,,620010,05/26/2026 04:47:00,05/17/2026 00:00:00,False,True,2528116.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 121,False,,False,1,0.00,,,,False,
40,C,40,,620010,05/26/2026 04:47:00,05/17/2026 00:00:00,False,True,2707316.00,True,0.00,0.00,,False,Issue to Chichawatni,0 0 0 0 0 0 172 122,False,,False,1,0.00,,,,False,
41,C,41,,620078,05/26/2026 04:51:00,05/17/2026 00:00:00,False,True,-772473.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 123,False,,False,1,0.00,,,,False,
42,C,42,,620099,05/26/2026 04:52:00,05/18/2026 00:00:00,False,True,246780.00,True,0.00,0.00,,False,To Nasir Jamal,0 0 0 0 0 0 172 124,False,,False,1,0.00,,,,False,
43,C,43,,620010,05/26/2026 04:53:00,05/18/2026 00:00:00,False,True,2736116.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 125,False,,False,1,0.00,,,,False,
44,C,44,,620010,05/26/2026 04:53:00,05/19/2026 00:00:00,False,True,2809596.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 126,False,,False,1,0.00,,,,False,
45,C,45,,620010,05/26/2026 04:54:00,05/19/2026 00:00:00,False,True,2859932.00,True,0.00,0.00,,False,issue to Arifwala,0 0 0 0 0 0 172 127,False,,False,1,0.00,,,,False,
46,C,46,,620020,05/26/2026 04:55:00,05/19/2026 00:00:00,False,True,-4255000.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 128,False,,False,1,0.00,,,,False,
47,C,47,,620071,05/26/2026 04:55:00,05/19/2026 00:00:00,False,True,3118600.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 129,False,,False,1,0.00,,,,False,
48,C,48,,620096,05/26/2026 04:56:00,05/19/2026 00:00:00,False,True,2184500.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 130,False,,False,1,0.00,,,,False,
49,C,49,,620092,05/26/2026 04:57:00,05/19/2026 00:00:00,False,True,259140.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 131,False,,False,1,0.00,,,,False,
50,C,50,,620060,05/26/2026 04:59:00,05/19/2026 00:00:00,False,True,43265553.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 132,False,,False,1,0.00,,,,False,
51,C,51,,620060,05/26/2026 05:03:00,05/20/2026 00:00:00,False,True,46616417.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 133,False,,False,1,0.00,,,,False,
52,C,52,,620110,05/26/2026 05:08:00,05/20/2026 00:00:00,False,True,0.00,True,0.00,0.00,,False,"Issue to Dr,Jan Muhammad",0 0 0 0 0 0 172 134,False,,False,1,0.00,,,,False,
53,C,53,,620041,05/26/2026 05:09:00,05/21/2026 00:00:00,False,True,1473984.00,True,0.00,0.00,,False,Issue to Kazim Karachi,0 0 0 0 0 0 172 135,False,,False,1,0.00,,,,False,
54,C,54,,620020,05/26/2026 05:09:00,05/21/2026 00:00:00,False,True,-3711000.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 136,False,,False,1,0.00,,,,False,
55,C,55,,620097,05/26/2026 05:11:00,05/21/2026 00:00:00,False,True,-4262400.00,True,0.00,0.00,,False,Issue to Waleed akram,0 0 0 0 0 0 172 137,False,,False,1,0.00,,,,False,
56,C,56,,620041,05/26/2026 05:11:00,05/21/2026 00:00:00,False,True,1552384.00,True,0.00,0.00,,True,,0 0 0 0 0 0 219 91,False,,False,1,0.00,,,,False,
57,C,57,,620027,05/26/2026 05:12:00,05/21/2026 00:00:00,False,True,-300000.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 139,False,,False,1,0.00,,,,False,
58,C,58,,620031,05/26/2026 05:12:00,05/22/2026 00:00:00,False,True,-120000.00,True,0.00,0.00,,False,Issue to ZAr Dairies Jumrah,0 0 0 0 0 0 172 140,False,,False,1,0.00,,,,False,
59,C,59,,620060,05/26/2026 05:13:00,05/22/2026 00:00:00,False,True,54616673.00,True,0.00,0.00,,False,Issue to M.K Kamaliya ,0 0 0 0 0 0 172 141,False,,False,1,0.00,,,,False,
60,C,60,,620027,05/26/2026 05:14:00,05/23/2026 00:00:00,False,True,100000.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 142,False,,False,1,0.00,,,,False,
61,C,61,,620041,05/29/2026 08:05:00,05/23/2026 00:00:00,False,True,1641984.00,True,0.00,0.00,,False,Issue to Yousaf Karachi,0 0 0 0 0 0 172 143,False,,False,1,0.00,,,,False,
62,C,62,,620041,05/29/2026 08:07:00,05/23/2026 00:00:00,False,True,1691984.00,True,0.00,0.00,,False,Issue to Tahir Shedadpur,0 0 0 0 0 0 172 144,False,,False,1,0.00,,,,False,
63,C,63,,620012,05/29/2026 08:08:00,05/23/2026 00:00:00,False,True,-434506.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 145,False,,False,1,0.00,,,,False,
64,C,64,,620097,05/29/2026 08:08:00,05/23/2026 00:00:00,False,True,-4098400.00,True,0.00,0.00,,False,Issue to Waleed Akram,0 0 0 0 0 0 172 162,False,,False,1,0.00,,,,False,
65,C,65,,620060,05/29/2026 08:11:00,05/24/2026 00:00:00,False,True,55232673.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 163,False,,False,1,0.00,,,,False,
66,C,66,,620099,05/29/2026 08:12:00,05/24/2026 00:00:00,False,True,310780.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 164,False,,False,1,0.00,,,,False,
67,C,67,,620096,05/29/2026 08:14:00,05/25/2026 00:00:00,False,True,2539500.00,True,0.00,0.00,,False,,0 0 0 0 0 0 172 165,False,,False,1,0.00,,,,False,
