SaleId,ProductId,BatchNo,ExpiryDate,Quantity,Cost,IsDeleted
1,00244,0001,07/23/2028 00:00:00,1100.000000000,26.40218,False
2,00278,0001,07/23/2028 00:00:00,40.000000000,1295.25000,False
3,00358,0001,07/23/2028 00:00:00,12.000000000,1377.81667,False
3,00360,0001,07/23/2028 00:00:00,12.000000000,902.06667,False
3,00362,0001,07/23/2028 00:00:00,12.000000000,854.15000,False
3,00364,0001,07/23/2028 00:00:00,24.000000000,1170.65000,False
3,00365,0001,07/23/2028 00:00:00,10.000000000,3827.25000,False
3,00366,0001,07/23/2028 00:00:00,10.000000000,606.53850,False
3,00367,0001,07/23/2028 00:00:00,20.000000000,907.90000,False
4,00050,0001,07/23/2028 00:00:00,12.000000000,412.84596,False
5,00016,0001,07/23/2028 00:00:00,36.000000000,515.25000,False
5,00231,0001,07/23/2028 00:00:00,150.000000000,426.24994,False
6,00022,0001,07/23/2028 00:00:00,4.000000000,541.53850,False
6,00357,0001,07/23/2028 00:00:00,2.000000000,10000.00000,False
7,00220,0001,07/23/2028 00:00:00,10.000000000,619.32775,False
8,00026,0001,07/23/2028 00:00:00,1000.000000000,50.03050,False
8,00078,0001,07/23/2028 00:00:00,200.000000000,441.43600,False
9,00274,0001,07/23/2028 00:00:00,52.000000000,2943.66922,False
10,00137,0001,07/23/2028 00:00:00,20.000000000,3746.25000,False
11,00054,0001,07/23/2028 00:00:00,12.000000000,396.11596,False
11,00055,0001,07/23/2028 00:00:00,12.000000000,515.38596,False
11,00063,0001,07/23/2028 00:00:00,12.000000000,379.78596,False
11,00368,0001,07/23/2028 00:00:00,12.000000000,508.55596,False
12,00019,0001,07/22/2034 00:00:00,56.000000000,1440.00000,False
12,00046,0001,07/23/2028 00:00:00,8.000000000,1134.17500,False
12,00052,0001,07/23/2028 00:00:00,8.000000000,908.54514,False
12,00053,0001,07/23/2028 00:00:00,4.000000000,9000.00000,False
12,00119,0001,07/23/2028 00:00:00,4.000000000,1123.30000,False
12,00231,0001,07/23/2028 00:00:00,50.000000000,426.24994,False
12,00261,0001,07/23/2028 00:00:00,8.000000000,1114.90000,False
13,00052,0001,07/23/2028 00:00:00,28.000000000,908.54514,False
14,00228,0001,07/24/2028 00:00:00,24.000000000,2111.00008,False
15,00147,0001,07/24/2028 00:00:00,10.000000000,4563.50000,False
16,00135,0001,07/29/2028 00:00:00,40.000000000,2138.87500,False
16,00177,0001,07/29/2028 00:00:00,48.000000000,2318.81668,False
16,00356,0001,07/29/2028 00:00:00,48.000000000,319.15596,False
17,00138,0001,07/29/2028 00:00:00,104.000000000,1009.17308,False
17,00307,0001,07/29/2028 00:00:00,44.000000000,3585.93627,False
18,00364,0001,07/29/2028 00:00:00,28.000000000,1175.74807,False
19,00016,0001,07/29/2028 00:00:00,5.000000000,583.59825,False
20,00184,0001,07/29/2028 00:00:00,190.000000000,291.67236,False
20,00205,0001,07/29/2028 00:00:00,120.000000000,541.93344,False
21,00124,0001,07/29/2034 00:00:00,24.000000000,5000.00000,False
22,00040,0001,07/29/2028 00:00:00,10.000000000,627.78050,False
23,00194,0001,08/02/2028 00:00:00,48.000000000,714.10000,False
24,00274,0001,08/02/2028 00:00:00,100.000000000,2626.85521,False
24,00276,0001,08/02/2028 00:00:00,40.000000000,864.73088,False
24,00278,0001,08/02/2028 00:00:00,20.000000000,1409.97610,False
24,00280,0001,08/02/2028 00:00:00,32.000000000,1845.28956,False
24,00281,0001,08/02/2028 00:00:00,32.000000000,1052.10963,False
25,00022,0001,08/02/2028 00:00:00,10.000000000,491.52650,False
26,00008,0001,08/02/2028 00:00:00,1077.000000000,34.36715,False
26,00010,0001,08/02/2028 00:00:00,2000.000000000,27.38060,False
26,00013,0001,08/02/2028 00:00:00,381.000000000,26.18735,False
26,00016,0001,08/02/2028 00:00:00,200.000000000,584.06435,False
26,00030,0001,08/02/2028 00:00:00,750.000000000,32.89546,False
26,00032,0001,08/02/2028 00:00:00,180.000000000,226.28706,False
26,00212,0001,08/02/2028 00:00:00,49.000000000,1462.34075,False
26,00220,0001,08/02/2028 00:00:00,50.000000000,610.27135,False
26,00231,0001,08/02/2028 00:00:00,100.000000000,519.82554,False
26,00233,0001,08/02/2028 00:00:00,2000.000000000,25.26363,False
26,00257,0001,08/02/2028 00:00:00,1000.000000000,28.78459,False
26,00259,0001,08/02/2028 00:00:00,2400.000000000,24.19121,False
26,00369,0001,08/02/2028 00:00:00,480.000000000,270.45352,False
27,00369,0001,08/02/2028 00:00:00,96.000000000,270.45352,False
28,00369,0001,08/02/2028 00:00:00,192.000000000,270.45352,False
29,00369,0001,08/02/2028 00:00:00,288.000000000,270.45352,False
30,00369,0001,08/02/2028 00:00:00,288.000000000,270.45352,False
31,00051,0001,08/03/2028 00:00:00,24.000000000,1138.75158,False
31,00226,0001,08/03/2028 00:00:00,24.000000000,608.10062,False
31,00260,0001,08/03/2028 00:00:00,16.000000000,802.78673,False
31,00330,0001,08/03/2028 00:00:00,32.000000000,993.03441,False
32,00022,0001,08/02/2028 00:00:00,20.000000000,491.52650,False
32,00220,0001,08/02/2028 00:00:00,40.000000000,610.27135,False
33,00028,0001,08/03/2028 00:00:00,100.000000000,1651.01625,False
