SerialNo,SaleId,ProductId,IsSaleOnTp,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted,Description
1,1,00244,True,1100.000000000,0,65.0000,0.00,0.00,0.00,0.00,71500.00,0.00,False,
2,2,00278,True,40.000000000,0,10000.0000,0.00,0.00,0.00,0.00,400000.00,0.00,False,
4,3,00358,True,12.000000000,0,3325.0000,0.00,0.00,0.00,0.00,39900.00,0.00,False,
7,3,00360,True,12.000000000,0,5225.0000,0.00,0.00,0.00,0.00,62700.00,0.00,False,
6,3,00362,True,12.000000000,0,5000.0000,0.00,0.00,0.00,0.00,60000.00,0.00,False,
3,3,00364,True,24.000000000,0,3325.0000,0.00,0.00,0.00,0.00,79800.00,0.00,False,
8,3,00365,True,10.000000000,0,6840.0000,0.00,0.00,0.00,0.00,68400.00,0.00,False,
9,3,00366,True,10.000000000,0,6840.0000,0.00,0.00,0.00,0.00,68400.00,0.00,False,
5,3,00367,True,20.000000000,0,6000.0000,0.00,0.00,0.00,0.00,120000.00,0.00,False,
10,4,00050,True,12.000000000,0,1200.0000,0.00,0.00,0.00,0.00,14400.00,0.00,False,
12,5,00016,True,36.000000000,0,2904.0000,0.00,0.00,0.00,0.00,104544.00,0.00,False,
11,5,00231,True,150.000000000,0,1320.0000,0.00,0.00,0.00,0.00,198000.00,0.00,False,
14,6,00022,True,4.000000000,0,2000.0000,0.00,0.00,0.00,0.00,8000.00,0.00,False,
13,6,00357,True,2.000000000,0,10000.0000,0.00,0.00,0.00,0.00,20000.00,0.00,False,
15,7,00220,True,10.000000000,0,3000.0000,0.00,0.00,0.00,0.00,30000.00,0.00,False,
17,8,00026,True,1000.000000000,0,145.0000,0.00,0.00,0.00,0.00,145000.00,0.00,False,
16,8,00078,True,200.000000000,0,927.0000,0.00,0.00,0.00,0.00,185400.00,0.00,False,
18,9,00274,True,52.000000000,0,5000.0000,0.00,0.00,0.00,0.00,260000.00,0.00,False,
19,10,00137,True,20.000000000,0,6000.0000,0.00,0.00,0.00,0.00,120000.00,0.00,False,
22,11,00054,True,12.000000000,0,852.0000,0.00,0.00,0.00,0.00,10224.00,0.00,False,
21,11,00055,True,12.000000000,0,1300.0000,0.00,0.00,0.00,0.00,15600.00,0.00,False,
23,11,00063,True,12.000000000,0,450.0000,0.00,0.00,0.00,0.00,5400.00,0.00,False,
20,11,00368,True,12.000000000,0,1200.0000,0.00,0.00,0.00,0.00,14400.00,0.00,False,
30,12,00019,True,56.000000000,0,2016.0000,0.00,0.00,0.00,0.00,112896.00,0.00,False,
24,12,00046,True,8.000000000,0,9000.0000,0.00,0.00,0.00,0.00,72000.00,0.00,False,
27,12,00052,True,8.000000000,0,7200.0000,0.00,0.00,0.00,0.00,57600.00,0.00,False,
28,12,00053,True,4.000000000,0,18000.0000,0.00,0.00,0.00,0.00,72000.00,0.00,False,
26,12,00119,True,4.000000000,0,9000.0000,0.00,0.00,0.00,0.00,36000.00,0.00,False,
29,12,00231,True,50.000000000,0,1440.0000,0.00,0.00,0.00,0.00,72000.00,0.00,False,
25,12,00261,True,8.000000000,0,5400.0000,0.00,0.00,0.00,0.00,43200.00,0.00,False,
31,13,00052,True,28.000000000,0,7200.0000,0.00,0.00,0.00,0.00,201600.00,0.00,False,
32,14,00228,True,24.000000000,0,8200.0000,0.00,0.00,0.00,0.00,196800.00,0.00,False,
33,15,00147,True,10.000000000,0,14080.0000,0.00,0.00,0.00,0.00,140800.00,0.00,False,
35,16,00135,True,40.000000000,0,8096.0000,0.00,0.00,0.00,0.00,323840.00,0.00,False,
34,16,00177,True,48.000000000,0,10164.0000,0.00,0.00,0.00,0.00,487872.00,0.00,False,
36,16,00356,True,48.000000000,0,1320.0000,0.00,0.00,0.00,0.00,63360.00,0.00,False,
37,17,00138,True,104.000000000,0,5000.0000,0.00,0.00,0.00,0.00,520000.00,0.00,False,
38,17,00307,True,44.000000000,0,19360.0000,0.00,0.00,0.00,0.00,851840.00,0.00,False,
39,18,00364,True,28.000000000,0,3325.0000,0.00,0.00,0.00,0.00,93100.00,0.00,False,
40,19,00016,True,5.000000000,0,2904.0000,0.00,0.00,0.00,0.00,14520.00,0.00,False,
41,20,00184,True,190.000000000,0,2992.0000,0.00,0.00,0.00,0.00,568480.00,0.00,False,
42,20,00205,True,120.000000000,0,1302.0000,0.00,0.00,0.00,0.00,156240.00,0.00,False,
43,21,00124,True,24.000000000,0,6000.0000,0.00,0.00,0.00,0.00,144000.00,0.00,False,
44,22,00040,True,10.000000000,0,13200.0000,0.00,0.00,0.00,0.00,132000.00,0.00,False,
45,23,00194,True,48.000000000,0,5500.0000,0.00,0.00,0.00,0.00,264000.00,0.00,False,
50,24,00274,True,100.000000000,0,5000.0000,0.00,0.00,0.00,0.00,500000.00,0.00,False,
46,24,00276,True,40.000000000,0,4000.0000,0.00,0.00,0.00,0.00,160000.00,0.00,False,
47,24,00278,True,20.000000000,0,10000.0000,0.00,0.00,0.00,0.00,200000.00,0.00,False,
49,24,00280,True,32.000000000,0,2500.0000,0.00,0.00,0.00,0.00,80000.00,0.00,False,
48,24,00281,True,32.000000000,0,4200.0000,0.00,0.00,0.00,0.00,134400.00,0.00,False,
51,25,00022,True,10.000000000,0,2000.0000,0.00,0.00,0.00,0.00,20000.00,0.00,False,
62,26,00008,True,1077.000000000,0,70.0000,0.00,0.00,0.00,0.00,75390.00,0.00,False,
58,26,00010,True,2000.000000000,0,77.0000,0.00,0.00,0.00,0.00,154000.00,0.00,False,
64,26,00013,True,381.000000000,0,70.0000,0.00,0.00,0.00,0.00,26670.00,0.00,False,
52,26,00016,True,200.000000000,0,2904.0000,0.00,0.00,0.00,0.00,580800.00,0.00,False,
60,26,00030,True,750.000000000,0,64.0000,0.00,0.00,0.00,0.00,48000.00,0.00,False,
57,26,00032,True,180.000000000,0,742.0000,0.00,0.00,0.00,0.00,133560.00,0.00,False,
54,26,00212,True,49.000000000,0,5016.0000,0.00,0.00,0.00,0.00,245784.00,0.00,False,
55,26,00220,True,50.000000000,0,1540.0000,0.00,0.00,0.00,0.00,77000.00,0.00,False,
53,26,00231,True,100.000000000,0,1320.0000,0.00,0.00,0.00,0.00,132000.00,0.00,False,
63,26,00233,True,2000.000000000,0,70.0000,0.00,0.00,0.00,0.00,140000.00,0.00,False,
61,26,00257,True,1000.000000000,0,158.0000,0.00,0.00,0.00,0.00,158000.00,0.00,False,
59,26,00259,True,2400.000000000,0,44.0000,0.00,0.00,0.00,0.00,105600.00,0.00,False,
56,26,00369,True,480.000000000,0,300.0000,0.00,0.00,0.00,0.00,144000.00,0.00,False,
65,27,00369,True,96.000000000,0,300.0000,0.00,0.00,0.00,0.00,28800.00,0.00,False,
66,28,00369,True,192.000000000,0,300.0000,0.00,0.00,0.00,0.00,57600.00,0.00,False,
67,29,00369,True,288.000000000,0,300.0000,0.00,0.00,0.00,0.00,86400.00,0.00,False,
68,30,00369,True,288.000000000,0,300.0000,0.00,0.00,0.00,0.00,86400.00,0.00,False,
69,31,00051,True,24.000000000,0,15400.0000,0.00,0.00,0.00,0.00,369600.00,0.00,False,
70,31,00226,True,24.000000000,0,2816.0000,0.00,0.00,0.00,0.00,67584.00,0.00,False,
71,31,00260,True,16.000000000,0,17600.0000,0.00,0.00,0.00,0.00,281600.00,0.00,False,
72,31,00330,True,32.000000000,0,8096.0000,0.00,0.00,0.00,0.00,259072.00,0.00,False,
74,32,00022,True,20.000000000,0,2310.0000,0.00,0.00,0.00,0.00,46200.00,0.00,False,
73,32,00220,True,40.000000000,0,1540.0000,0.00,0.00,0.00,0.00,61600.00,0.00,False,
75,33,00028,True,100.000000000,0,3625.0000,0.00,0.00,0.00,0.00,362500.00,0.00,False,
76,34,00318,True,240.000000000,0,650.0000,0.00,0.00,0.00,0.00,156000.00,0.00,False,
78,35,00008,True,400.000000000,0,77.0000,0.00,0.00,0.00,0.00,30800.00,0.00,False,
77,35,00265,True,960.000000000,0,240.0000,0.00,0.00,0.00,0.00,230400.00,0.00,False,
79,36,00369,True,384.000000000,0,300.0000,0.00,0.00,0.00,0.00,115200.00,0.00,False,
80,37,00292,True,80.000000000,0,5060.0000,0.00,0.00,0.00,0.00,404800.00,0.00,False,
81,37,00370,True,120.000000000,0,880.0000,0.00,0.00,0.00,0.00,105600.00,0.00,False,
82,38,00086,True,240.000000000,0,1300.0000,0.00,0.00,0.00,0.00,312000.00,0.00,False,
84,39,00363,True,4.000000000,0,16000.0000,0.00,0.00,0.00,0.00,64000.00,0.00,False,
83,39,00369,True,384.000000000,0,300.0000,0.00,0.00,0.00,0.00,115200.00,0.00,False,
85,40,00369,True,96.000000000,0,300.0000,0.00,0.00,0.00,0.00,28800.00,0.00,False,
94,41,00010,True,200.000000000,0,77.0000,0.00,0.00,0.00,0.00,15400.00,0.00,False,
90,41,00016,True,30.000000000,0,2700.0000,0.00,0.00,0.00,0.00,81000.00,0.00,False,
89,41,00020,True,100.000000000,0,154.0000,0.00,0.00,0.00,0.00,15400.00,0.00,False,
92,41,00030,True,250.000000000,0,64.0000,0.00,0.00,0.00,0.00,16000.00,0.00,False,
93,41,00032,True,60.000000000,0,742.0000,0.00,0.00,0.00,0.00,44520.00,0.00,False,
88,41,00050,True,24.000000000,0,1584.0000,0.00,0.00,0.00,0.00,38016.00,0.00,False,
86,41,00233,True,200.000000000,0,70.0000,0.00,0.00,0.00,0.00,14000.00,0.00,False,
91,41,00258,True,10.000000000,0,6600.0000,0.00,0.00,0.00,0.00,66000.00,0.00,False,
87,41,00259,True,1440.000000000,0,44.0000,0.00,0.00,0.00,0.00,63360.00,0.00,False,
95,41,00369,True,96.000000000,0,300.0000,0.00,0.00,0.00,0.00,28800.00,0.00,False,
96,42,00243,True,20.000000000,0,3200.0000,0.00,0.00,0.00,0.00,64000.00,0.00,False,
97,43,00016,True,20.000000000,0,2904.0000,0.00,0.00,0.00,0.00,58080.00,0.00,False,
98,43,00220,True,10.000000000,0,1540.0000,0.00,0.00,0.00,0.00,15400.00,0.00,False,
99,44,00259,True,1144.000000000,0,44.0000,0.00,0.00,0.00,0.00,50336.00,0.00,False,
100,45,00315,True,100.000000000,0,1100.0000,0.00,0.00,0.00,0.00,110000.00,0.00,False,
101,46,00138,True,80.000000000,0,4000.0000,0.00,0.00,0.00,0.00,320000.00,0.00,False,
102,46,00189,True,56.000000000,0,4000.0000,0.00,0.00,0.00,0.00,224000.00,0.00,False,
103,47,00208,True,360.000000000,0,1320.0000,0.00,0.00,0.00,0.00,475200.00,0.00,False,
104,48,00273,True,20.000000000,0,7000.0000,0.00,0.00,0.00,0.00,140000.00,0.00,False,
105,48,00285,True,150.000000000,0,900.0000,0.00,0.00,0.00,0.00,135000.00,0.00,False,
106,48,00371,True,20.000000000,0,4000.0000,0.00,0.00,0.00,0.00,80000.00,0.00,False,
108,49,00040,True,2.000000000,0,15000.0000,0.00,0.00,0.00,0.00,30000.00,0.00,False,
107,49,00231,True,2.000000000,0,1500.0000,0.00,0.00,0.00,0.00,3000.00,0.00,False,
112,50,00129,True,44.000000000,0,11616.0000,0.00,0.00,0.00,0.00,511104.00,0.00,False,
114,50,00130,True,4.000000000,0,8800.0000,0.00,0.00,0.00,0.00,35200.00,0.00,False,
113,50,00135,True,128.000000000,0,8096.0000,0.00,0.00,0.00,0.00,1036288.00,0.00,False,
110,50,00136,True,44.000000000,0,6336.0000,0.00,0.00,0.00,0.00,278784.00,0.00,False,
111,50,00144,True,84.000000000,0,6600.0000,0.00,0.00,0.00,0.00,554400.00,0.00,False,
109,50,00177,True,92.000000000,0,10164.0000,0.00,0.00,0.00,0.00,935088.00,0.00,False,
115,51,00130,True,116.000000000,0,8800.0000,0.00,0.00,0.00,0.00,1020800.00,0.00,False,
120,51,00131,True,160.000000000,0,8096.0000,0.00,0.00,0.00,0.00,1295360.00,0.00,False,
116,51,00132,True,59.000000000,0,10208.0000,0.00,0.00,0.00,0.00,602272.00,0.00,False,
118,51,00133,True,60.000000000,0,5896.0000,0.00,0.00,0.00,0.00,353760.00,0.00,False,
117,51,00145,True,164.000000000,0,13376.0000,0.00,0.00,0.00,0.00,2193664.00,0.00,False,
121,51,00260,True,92.000000000,0,17600.0000,0.00,0.00,0.00,0.00,1619200.00,0.00,False,
122,51,00314,True,40.000000000,0,14080.0000,0.00,0.00,0.00,0.00,563200.00,0.00,False,
119,51,00349,True,80.000000000,0,4400.0000,0.00,0.00,0.00,0.00,352000.00,0.00,False,
123,52,00363,True,10.000000000,0,15000.0000,0.00,0.00,0.00,0.00,150000.00,0.00,False,
124,53,00170,True,16.000000000,0,2800.0000,0.00,0.00,0.00,0.00,44800.00,0.00,False,
125,53,00266,True,12.000000000,0,2800.0000,0.00,0.00,0.00,0.00,33600.00,0.00,False,
126,54,00049,True,12.000000000,0,4000.0000,0.00,0.00,0.00,0.00,48000.00,0.00,False,
127,55,00295,True,36.000000000,0,4000.0000,0.00,0.00,0.00,0.00,144000.00,0.00,False,
128,55,00296,True,10.000000000,1,2000.0000,0.00,0.00,0.00,0.00,20000.00,0.00,False,
129,56,00180,True,32.000000000,0,2800.0000,0.00,0.00,0.00,0.00,89600.00,0.00,False,
130,57,00047,True,100.000000000,0,4000.0000,0.00,0.00,0.00,0.00,400000.00,0.00,False,
131,58,00363,True,10.000000000,0,15000.0000,0.00,0.00,0.00,0.00,150000.00,0.00,False,
132,59,00019,True,200.000000000,0,3080.0000,0.00,0.00,0.00,0.00,616000.00,0.00,False,
133,60,00156,True,200.000000000,0,1500.0000,0.00,0.00,0.00,0.00,300000.00,0.00,False,
134,61,00231,True,50.000000000,0,1000.0000,0.00,0.00,0.00,0.00,50000.00,0.00,False,
135,62,00125,True,22.000000000,0,4500.0000,0.00,0.00,0.00,0.00,99000.00,0.00,False,
136,63,00231,True,20.000000000,0,1320.0000,0.00,0.00,0.00,0.00,26400.00,0.00,False,
137,63,00258,True,5.000000000,0,8250.0000,0.00,0.00,0.00,0.00,41250.00,0.00,False,
138,64,00228,True,24.000000000,0,8200.0000,0.00,0.00,0.00,0.00,196800.00,0.00,False,
139,65,00053,True,200.000000000,0,14080.0000,0.00,0.00,0.00,0.00,2816000.00,0.00,False,
142,65,00124,True,42.000000000,0,7920.0000,0.00,0.00,0.00,0.00,332640.00,0.00,False,
141,65,00129,True,6.000000000,0,11616.0000,0.00,0.00,0.00,0.00,69696.00,0.00,False,
144,65,00147,True,130.000000000,0,14080.0000,0.00,0.00,0.00,0.00,1830400.00,0.00,False,
140,65,00184,True,156.000000000,0,2992.0000,0.00,0.00,0.00,0.00,466752.00,0.00,False,
143,65,00307,True,44.000000000,0,19360.0000,0.00,0.00,0.00,0.00,851840.00,0.00,False,
145,65,00344,True,54.000000000,0,7480.0000,0.00,0.00,0.00,0.00,403920.00,0.00,False,
146,66,00139,True,10.000000000,0,3500.0000,0.00,0.00,0.00,0.00,35000.00,0.00,False,
148,67,00276,True,52.000000000,0,4000.0000,0.00,0.00,0.00,0.00,208000.00,0.00,False,
147,67,00281,True,52.000000000,0,4200.0000,0.00,0.00,0.00,0.00,218400.00,0.00,False,
149,67,00372,True,20.000000000,0,4000.0000,0.00,0.00,0.00,0.00,80000.00,0.00,False,
150,67,00373,True,5.000000000,0,15000.0000,0.00,0.00,0.00,0.00,75000.00,0.00,False,
151,68,00363,True,7.000000000,0,15000.0000,0.00,0.00,0.00,0.00,105000.00,0.00,False,
152,69,00285,True,150.000000000,0,900.0000,0.00,0.00,0.00,0.00,135000.00,0.00,False,
153,69,00286,True,60.000000000,0,2000.0000,0.00,0.00,0.00,0.00,120000.00,0.00,False,
154,70,00022,True,100.000000000,0,2000.0000,0.00,0.00,0.00,0.00,200000.00,0.00,False,
155,71,00032,True,60.000000000,0,742.0000,0.00,0.00,0.00,0.00,44520.00,0.00,False,
156,71,00233,True,200.000000000,0,70.0000,0.00,0.00,0.00,0.00,14000.00,0.00,False,
157,72,00019,True,50.000000000,0,3080.0000,0.00,0.00,0.00,0.00,154000.00,0.00,False,
158,72,00040,True,2.000000000,0,9000.0000,0.00,0.00,0.00,0.00,18000.00,0.00,False,
159,73,00376,True,24.000000000,0,3325.0000,0.00,0.00,0.00,0.00,79800.00,0.00,False,
160,74,00197,True,20.000000000,0,3850.0000,0.00,0.00,0.00,0.00,77000.00,0.00,False,
162,75,00228,True,20.000000000,0,8200.0000,0.00,0.00,0.00,0.00,164000.00,0.00,False,
161,75,00291,True,28.000000000,0,3000.0000,0.00,0.00,0.00,0.00,84000.00,0.00,False,
163,75,00296,True,25.000000000,0,2000.0000,0.00,0.00,0.00,0.00,50000.00,0.00,False,
164,76,00156,True,400.000000000,0,1500.0000,0.00,0.00,0.00,0.00,600000.00,0.00,False,
