2026-08-04 03:10:54,135 | INFO     | erp.database.connection | Connection pool initialized with 20 connections
2026-08-04 03:10:54,136 | INFO     | erp.database.connection | ✅ SQLiteCloudConnection initialized (direct mode)
2026-08-04 03:10:54,137 | INFO     | erp.__main__ | Starting auto-backup service...
2026-08-04 03:10:54,140 | INFO     | erp.services.auto_backup | Auto-backup started (interval: 24 hours)
2026-08-04 03:10:54,141 | INFO     | erp.__main__ | Starting application...
2026-08-04 03:10:55,988 | INFO     | erp.__main__ | ✅ Database already initialized, skipping migrations
2026-08-04 03:11:05,254 | INFO     | erp.authentication.auth_service | User 'admin' logged in (role=Admin)
2026-08-04 03:11:05,945 | INFO     | erp.views.widgets.dashboard_view | 🔄 LOADING DASHBOARD DATA
2026-08-04 03:11:05,949 | INFO     | erp.views.widgets.dashboard_view | 🔄 Dashboard View refreshed on show
2026-08-04 03:11:05,997 | INFO     | erp.services.dashboard_service | 🔄 Dashboard cache miss, fetching from DB...
2026-08-04 03:11:07,726 | INFO     | erp.services.dashboard_service | ✅ Today's stats: Sales=77.0, Purchases=200.0
2026-08-04 03:11:08,596 | INFO     | erp.services.dashboard_service | ✅ Main dashboard query completed
2026-08-04 03:11:09,351 | INFO     | erp.services.dashboard_service | ✅ Fetched 4 recent transactions
2026-08-04 03:11:10,112 | INFO     | erp.services.dashboard_service | ✅ Found 0 low stock items
2026-08-04 03:11:10,866 | INFO     | erp.services.dashboard_service | ✅ Found 0 expiring items
2026-08-04 03:11:10,869 | INFO     | erp.services.dashboard_service | ✅ Dashboard data built and cached
2026-08-04 03:12:05,265 | INFO     | erp.views.widgets.dashboard_view | 🔄 LOADING DASHBOARD DATA
2026-08-04 03:12:05,269 | INFO     | erp.services.dashboard_service | ✅ Dashboard cache hit for dashboard_1
2026-08-04 03:12:19,296 | INFO     | erp.__main__ | Shutting down auto-backup service...
2026-08-04 03:12:24,328 | INFO     | erp.services.auto_backup | Auto-backup stopped
2026-08-04 03:12:24,394 | INFO     | erp.__main__ | 🔄 Creating exit backup...
2026-08-04 03:12:24,444 | INFO     | erp.__main__ | ✅ Exit backup created
2026-08-04 03:12:24,455 | INFO     | erp.__main__ | 🔄 Closing database connections...
2026-08-04 03:12:24,467 | INFO     | erp.database.connection | SQLite Cloud connections closed
